board	degree	nordegree
Food	35	19.5206699929
Badminton	20	18.0092059839
mobilesales	24	14.2596810934
ChangHua	17	13.1903817551
give	21	11.9292196007
MobileComm	22	11.3256578947
NCHUS	11	10.3704819277
Wanted	74	8.21755481445
rabbit	8	7.73316862261
TaichungCont	8	7.64813683568
Road	9	7.512
joke	16	7.4813265611
biker	10	7.31308411215
car-pool	8	7.25376593279
Japan_Travel	12	7.18989280245
BoardGame	8	7.17478510029
tattoo_ring	7	6.92915876028
forsale	90	6.80204761675
facelift	7	6.77908415842
toberich	7	6.39521307647
job	7	6.37289121582
Bank_Service	7	6.35072463768
HardwareSale	10	6.04947816003
MacShop	10	5.93477436481
part-time	8	5.77224527432
Nantou	6	5.57600950119
friends	7	5.26936026936
PingTung	6	5.25755879059
Hsinchu	7	4.91475998205
studyteacher	5	4.89674593242
creditcard	6	4.66467958271
prozac	5	4.53623188406
THU_Talk	5	4.49712643678
Gamesale	8	4.17611741161
FengYuan	4	3.94206549118
shoes	4	3.84284837324
HatePolitics	12	3.80392951185
Drama-Ticket	9	3.75299760192
drawing	4	3.74850299401
Windows	4	3.74850299401
BabyMother	5	3.71733966746
Taoyuan	5	3.71028923661
hairdo	4	3.66296079579
Gossiping	73	3.62763153717
dog	4	3.58533791523
travel	5	3.44258688957
e-coupon	5	3.34830979889
Lifeismoney	4	3.28781512605
Tainan	7	3.22205882353
Ind-travel	4	3.21685508736
SummonersWar	3	2.98664122137
movie	8	2.98521697663
SRW	3	2.98284625159
soho	3	2.91433891993
Test	7	2.89584985461
AllTogether	6	2.87948482061
PVC-GK	3	2.86805131338
Insurance	3	2.85757760195
HelpBuy	9	2.79575228265
EuropeTravel	3	2.76339022955
bicycle	3	2.75689958896
CVS	3	2.75689958896
Rent_apart	3	2.70293609672
equal_change	4	2.6763574177
Japandrama	3	2.67216846898
WomenTalk	11	2.62144053601
cat	3	2.58820286659
ask	4	2.55718954248
Zastrology	3	2.48150105708
Kaohsiung	5	2.4661203908
Baseball	14	2.42099447514
nmsmusic	3	2.41761071061
barterbooks	4	2.24453209035
Tech_Job	3	2.24319159102
home-sale	3	2.19906323185
Hate	26	2.1092737546
C_Chat	8	2.09154694287
Boy-Girl	3	2.06646126761
BabyProducts	4	2.02785876255
NewActivity	3	2.02632714717
L_TaiwanPlaz	2	1.99617346939
TWproducts	2	1.99109414758
egg-exchange	2	1.97975964579
AnimalGoods	2	1.96731615336
clmusic	2	1.96608040201
Songs	2	1.96608040201
Snacks	2	1.96238244514
StudyGroup	2	1.95992485911
LivingGoods	2	1.95869837297
Pet_Get	2	1.95258889582
Broken-heart	2	1.94651741294
Aves	2	1.9453076445
BeautyMarket	4	1.93568336425
MoveHouse	2	1.91906805641
hypermall	2	1.91671769749
stationery	2	1.90042501518
FCU_GoodLife	2	1.89352692075
Railway	3	1.87425149701
Old-Games	2	1.8664281455
TAXI	2	1.86531585221
BuyTogether	3	1.85940594059
ClashRoyale	2	1.84226015303
Android	2	1.80403458213
Key_Mou_Pad	2	1.79988499137
E-appliance	2	1.79266895762
I-Lan	2	1.78959405374
textbook	2	1.77840909091
ChungLi	2	1.76736307171
ID_Problem	2	1.74860335196
SENIORHIGH	2	1.72737306843
talk	7	1.68538461538
Rent_ya	2	1.65959703075
nb-shopping	2	1.64650184114
ShuangHe	2	1.6413214473
Rent_tao	2	1.56421789105
Salary	2	1.47294117647
Chat82gether	2	1.29392310872
Stock	2	1.29018961253
LoL	4	1.05334006394
Seal_Online	1	0.999361430396
Gradol	1	0.999361430396
female-shoes	1	0.998086734694
HKMCantonese	1	0.998086734694
Supermission	1	0.995547073791
HT_Nishijima	1	0.995547073791
Media-work	1	0.994914176732
photo	1	0.994282083863
ai-photo	1	0.994282083863
MJ	1	0.994282083863
finding	1	0.993650793651
DistantLove	1	0.993650793651
STREET_BALL	1	0.993020304569
Artfilm	1	0.993020304569
Malaysia	1	0.992390615092
Drama	1	0.991761723701
KOF	1	0.991133628879
Web_Design	1	0.990506329114
Indie-Film	1	0.990506329114
HRM	1	0.986759142497
DirectSales	1	0.986759142497
Stall	1	0.98427672956
ServiceInfo	1	0.98427672956
pet	1	0.983658076681
Actuary	1	0.983658076681
Taurus	1	0.982423101067
Mechanical	1	0.982423101067
Hong_Kong	1	0.982423101067
need_student	1	0.981806775408
TaiShan	1	0.981806775408
Loan	1	0.979349186483
DigitalMusic	1	0.978736710444
Sony-style	1	0.978125
Salesperson	1	0.977514053716
CTUST	1	0.977514053716
NCUT	1	0.97629444791
FCU_Talk	1	0.975685785536
PCSH_talk	1	0.97507788162
PC26th318	1	0.97507788162
Doctor-Info	1	0.973258706468
LineGames	1	0.97265382225
CYUT	1	0.971446306642
unemployed	1	0.970843672457
SMSlife	1	0.970843672457
San-Ying	1	0.970241785493
rent-exp	1	0.969040247678
BB_Online	1	0.969040247678
HomeTeach	1	0.967841682127
model	1	0.966049382716
poem	1	0.965453423812
love-vegetal	1	0.965453423812
Little-Games	1	0.964858199753
littlegift	1	0.963669950739
PublicServan	1	0.961302211302
NIHONGO	1	0.958946078431
DSLR	1	0.956601466993
MenTalk	3	0.953105968331
baking	1	0.94963592233
lesbian	1	0.948484848485
HsinYi	1	0.940504807692
LinKou	1	0.93993993994
Scorpio	1	0.938812237552
TuCheng	1	0.93824940048
BigPeitou	1	0.93824940048
Life	1	0.936564931179
points	1	0.934886499403
Tour-Agency	1	0.934886499403
COC	1	0.932657926103
Lefty	1	0.931547619048
Yunlin	1	0.930993456276
HsinTien	1	0.924940898345
Nangang	1	0.924394565859
MakeUp	1	0.923303834808
Hotel	1	0.921672555948
watch	1	0.921130076516
SongShan	1	0.918966529654
cookclub	1	0.914669783752
China_travel	1	0.914135514019
ToS	1	0.909355026148
Headphone	1	0.90777262181
FITNESS	1	0.897362385321
Daan	1	0.892246294185
GetMarry	1	0.872352285396
memento	1	0.859417902252
HsinChuang	1	0.850543478261
BigBanciao	1	0.840945728103
Examination	1	0.827604442094
PC_Shopping	1	0.806285419887
KanColle	1	0.800921187308
iPhone	1	0.797249108507
Taipei	1	0.796843177189
StupidClown	1	0.794013191273
Neihu	1	0.753853564547
PlayStation	1	0.719209558824
Militarylife	1	0.699910554562
MRT	1	0.693398316349
Aviation	1	0.687912087912
BikerShop	1	0.614689709348
Clothes	3	0.594379035321
Beauty	1	0.57137641475
NTU	1	0.527646662171
Elephants	1	0.116270430906
