board	degree	nordegree
TaichungBun	8	5.90844738084
Food	3	2.36881937437
Taoyuan	2	1.69006479482
Japan_Travel	2	1.59693877551
forsale	4	1.44206404054
Web_Design	1	0.994282083863
FengYuan	1	0.9861373661
e-seller	1	0.984896161108
Snacks	1	0.984896161108
photo-buy	1	0.980576441103
NCUT	1	0.97629444791
CYUT	1	0.973258706468
points	1	0.959534028204
NCHUS	1	0.956017104459
friends	1	0.934328358209
Badminton	1	0.928232502966
Ind-travel	1	0.904101675332
equal_change	1	0.883681535855
part-time	1	0.858946212953
travel	1	0.849158979924
Hsinchu	1	0.832004253057
HardwareSale	1	0.790803436079
give	1	0.785642570281
AllTogether	1	0.725208526413
HelpBuy	1	0.699910554562
Wanted	1	0.495253164557
