board	degree	nordegree
give	6	3.40834845735
Hualien	2	1.86531585221
mobilesales	3	1.78246013667
Food	3	1.6732002851
allergy	1	0.996180776575
Snacks	1	0.981191222571
love-vegetal	1	0.965453423812
TuCheng	1	0.93824940048
Yunlin	1	0.930993456276
Nantou	1	0.929334916865
aqua-shop	1	0.921672555948
watch	1	0.921130076516
Tainan	2	0.920588235294
Miaoli	1	0.910942956927
Tai-travel	1	0.902537485582
ChangHua	1	0.775904809122
forsale	10	0.755783068528
BikerShop	1	0.614689709348
Kaohsiung	1	0.493224078159
WomenTalk	1	0.238312776001
