board	degree	nordegree
ChungLi	27	23.8594014681
HatePolitics	24	7.6078590237
creditcard	9	6.99701937407
forsale	84	6.34857777563
car	10	6.13004308656
mobilesales	9	5.34738041002
MoveHouse	5	4.79767014102
Nantou	5	4.64667458432
Food	8	4.46186742694
BabyMother	6	4.46080760095
BuyTogether	7	4.33861386139
Gamesale	8	4.17611741161
Ind-travel	5	4.0210688592
give	7	3.97640653358
poem	4	3.86181369525
CATCH	4	3.66725248975
Rent_apart	4	3.60391479562
travel	5	3.44258688957
BeautyMarket	7	3.38744588745
Gossiping	62	3.08100212746
TaichungBun	5	3.02707930368
DivingSport	3	2.98284625159
San-Ying	3	2.91072535648
Preschooler	3	2.90532178218
love-vegetal	3	2.89636027144
Hsinchu	4	2.80843427546
aqua-shop	3	2.76501766784
Aviation	4	2.75164835165
car-pool	3	2.7201622248
dog	3	2.68900343643
I-Lan	3	2.68439108062
Stock	4	2.58037922506
Diary	5	2.504
Railway	4	2.49900199601
Wanted	19	2.10991272263
Therapist	2	1.98982835346
Japan_Living	2	1.98982835346
NTPU_TALK	2	1.98604060914
travelbooks	2	1.96979232222
NailSalon	2	1.95992485911
HELLOWORLD	2	1.91437308869
TaichungCont	2	1.91203420892
Board-Police	2	1.89352692075
LinKou	2	1.87987987988
Hualien	2	1.86531585221
HelpBuy	6	1.8638348551
V_ScHooL	2	1.85646500593
toberich	2	1.82720373614
job	2	1.82082606166
SportsShop	2	1.72546857773
barterbooks	3	1.68339906777
Road	2	1.66933333333
Examination	2	1.65520888419
Perfume_Shop	2	1.59856996936
BabyProducts	3	1.52089407191
home-sale	2	1.46604215457
WomenTalk	6	1.42987665601
Militarylife	2	1.39982110912
PublicIssue	2	1.3867966327
MRT	2	1.3867966327
Tainan	3	1.38088235294
IA	3	1.26379542396
Drama-Ticket	3	1.25099920064
HardwareSale	2	1.20989563201
MobileComm	2	1.02960526316
fatworld	1	0.994914176732
jersey	1	0.994282083863
babysitte	1	0.993650793651
dance	1	0.989879822897
Oracles	1	0.989254108723
Jeans	1	0.989254108723
Hiking	1	0.989254108723
HRM	1	0.986759142497
Vietnam	1	0.984896161108
ServiceInfo	1	0.98427672956
GoodPregnan	1	0.98427672956
pet	1	0.983658076681
AnimalGoods	1	0.983658076681
TaiShan	1	0.981806775408
DC	1	0.979962429555
wonderland	1	0.977514053716
iELC	1	0.977514053716
howtztravel	1	0.977514053716
e-Business	1	0.977514053716
Sassy-babe	1	0.977514053716
Salesperson	1	0.977514053716
Progressive	1	0.977514053716
NTUrefined	1	0.977514053716
NTUTradOpera	1	0.977514053716
NTUSNews	1	0.977514053716
NTUPR	1	0.977514053716
NTUNTE	1	0.977514053716
NTUMUN	1	0.977514053716
NTUDesign	1	0.977514053716
NTUDT	1	0.977514053716
NTUChallenge	1	0.977514053716
NTU-IAS	1	0.977514053716
MED_serve	1	0.977514053716
GOFORFIENDS	1	0.977514053716
Finance	1	0.977514053716
Film-Club	1	0.977514053716
CYPA	1	0.977514053716
CSCommunity	1	0.977514053716
CLUB_KABA	1	0.977514053716
CCYS	1	0.977514053716
AquaPet	1	0.977514053716
AD	1	0.977514053716
Polytechnic	1	0.976903870162
uni-talk	1	0.97629444791
Alternative	1	0.97629444791
A-UPUP	1	0.97629444791
TravelGuy	1	0.974470734745
NTU-Taipei	1	0.970843672457
Folklore	1	0.970843672457
ASES-Taiwan	1	0.970843672457
Jinmen	1	0.963076923077
CYCU_Talk	1	0.960122699387
photo-buy	1	0.958946078431
CLOCA	1	0.958358848745
ZACTION	1	0.955433455433
Shu-Lin	1	0.954850518609
Insurance	1	0.952525867316
NightLife	1	0.946763460375
MysticWiz	1	0.946191051995
Coffee	1	0.945048309179
TuCheng	1	0.93824940048
Oceanography	1	0.93824940048
tax	1	0.936564931179
juniorhigh	1	0.930993456276
HsinTien	1	0.924940898345
MakeUp	1	0.923303834808
SongShan	1	0.918966529654
Teacher	1	0.915204678363
Miaoli	1	0.910942956927
swim	1	0.908826945412
Bank_Service	1	0.907246376812
Agriculture	1	0.907246376812
Android	1	0.902017291066
Ecophilia	1	0.900978698906
Badminton	1	0.900460299194
E-appliance	1	0.896334478809
Plant	1	0.878719820326
Olympics_ISG	1	0.875769445999
SENIORHIGH	1	0.863686534216
TY_Research	1	0.85146898803
HateP_Picket	1	0.85146898803
BigSanchung	1	0.851005981512
HsinChuang	1	0.850543478261
BigBanciao	1	0.840945728103
Refresh	1	0.82066072365
Taipei	1	0.796843177189
Rent_tao	1	0.782108945527
friends	1	0.752765752766
Salary	1	0.736470588235
part-time	1	0.72153065929
PlayStation	1	0.719209558824
CrossStrait	1	0.665391156463
MenTalk	2	0.635403978888
BikerShop	1	0.614689709348
MacShop	1	0.593477436481
AllTogether	1	0.479914136768
Test	1	0.413692836373
Baseball	2	0.345856353591
Elephants	2	0.232540861813
