board	degree	nordegree
Salary	19	16.3829201102
Soft_Job	10	9.69640644362
Gossiping	34	8.18363580437
HatePolitics	10	7.21198156682
home-sale	8	7.06147772138
Stock	6	5.12554585153
job	5	4.68843618933
WomenTalk	8	4.3351800554
Hsinchu	5	4.16002126528
Examination	4	3.69757826344
ChangHua	3	2.75366568915
movie	4	2.70644185041
Boy-Girl	3	2.55997818975
forsale	7	2.52361207095
Kaohsiung	3	2.34515484515
sex	3	2.34398402396
NBA	3	2.31280788177
Baseball	4	2.26156069364
TaichungBun	3	2.21566776782
Bioindustry	2	1.98604060914
Mechanical	2	1.97103274559
Finance	2	1.96361355082
Q_ary	2	1.95502810743
Jeremy_Lin	2	1.9453076445
LoL	3	1.94249069094
graduate	2	1.9226044226
Teacher	2	1.91906805641
e-shopping	2	1.81659895531
NTU	2	1.71978021978
car	2	1.68098818475
ask	2	1.62260238466
HardwareSale	2	1.58160687216
MobileComm	2	1.55334987593
MenTalk	2	1.54644268775
mobilesales	2	1.4470642626
Tainan	2	1.44439317028
C_Chat	2	1.2212251268
Printer3D	1	0.997450605481
License	1	0.996815286624
CD-R	1	0.996815286624
MacDev	1	0.996180776575
tutor	1	0.993650793651
Trading	1	0.993650793651
TWSU	1	0.992390615092
AdvEduUK	1	0.992390615092
Golf	1	0.991761723701
CareerLady	1	0.989879822897
Instant_Mess	1	0.988629185092
ServiceInfo	1	0.988005050505
money	1	0.98738170347
TW-history	1	0.98738170347
WorkinChina	1	0.985516372796
Health_Life	1	0.985516372796
FishShrimp	1	0.984896161108
MabinogiHero	1	0.98427672956
JOB-Hunting	1	0.98427672956
Contacts	1	0.98427672956
Math	1	0.983658076681
Aquarium	1	0.981191222571
SMSlife	1	0.979962429555
Nurse	1	0.979962429555
San-Ying	1	0.977514053716
unemployed	1	0.976903870162
Google	1	0.97507788162
Browsers	1	0.973864343497
TypeMoon	1	0.973258706468
Shu-Lin	1	0.973258706468
basketballTW	1	0.971446306642
I.O.I	1	0.970843672457
guitar	1	0.970241785493
drawing	1	0.969040247678
LinKou	1	0.968440594059
Sijhih	1	0.967243510507
PttLifeLaw	1	0.966646077826
FORMULA1	1	0.964858199753
lesbian	1	0.964263709181
TuCheng	1	0.963669950739
KoreaStar	1	0.963669950739
Windows	1	0.963076923077
hairdo	1	0.958946078431
HsinTien	1	0.957186544343
SongShan	1	0.956017104459
Nantou	1	0.954850518609
Live	1	0.949060036386
TWICE	1	0.943339361061
PublicIssue	1	0.941070354781
japanavgirls	1	0.938812237552
Hunter	1	0.937125748503
ChungLi	1	0.933770883055
marriage	1	0.92221567472
Olympics_ISG	1	0.916813122437
HsinChuang	1	0.913601868068
TaiwanDrama	1	0.912004662005
Soccer	1	0.905147484095
ShuangHe	1	0.900460299194
nb-shopping	1	0.891737891738
Monkeys	1	0.890722822994
iPhone	1	0.883681535855
equal_change	1	0.883681535855
IA	1	0.878719820326
Beauty	1	0.875279642058
Railway	1	0.870411568409
Aviation	1	0.863686534216
part-time	1	0.858946212953
BabyMother	1	0.834221748401
Drama-Ticket	1	0.821953781513
Rhinos	1	0.819800942902
BeautyMarket	1	0.805870236869
MacShop	1	0.786432160804
Test	1	0.775520317146
Wanted	1	0.495253164557
