board	degree	nordegree
Federer	18	17.7616645649
Nadal	9	8.93718274112
Rockets	9	8.43413173653
Mavericks	6	5.60262529833
Atletico	6	4.64621474518
WomenTalk	18	4.28962996802
LoL	15	3.95002523978
Baseball	19	3.28563535912
Soccer	4	2.95422369042
swim	3	2.72648083624
Jeremy_Lin	3	2.72173913043
Ecophilia	3	2.70293609672
sky	3	2.69054441261
Olympics_ISG	3	2.627308338
Gossiping	52	2.58406630045
Bus	3	2.53783783784
Militarylife	3	2.09973166369
MRT	3	2.08019494905
PublicBike	2	1.89696969697
Railway	3	1.87425149701
Agriculture	2	1.81449275362
Road	2	1.66933333333
NBA	4	1.36502398604
CrossStrait	2	1.33078231293
movie	3	1.11945636624
Williams	1	0.994914176732
Jinmen	1	0.963076923077
basketballTW	1	0.957186544343
PH-sea	1	0.956601466993
EarthScience	1	0.956601466993
AirForce	1	0.954850518609
Cga	1	0.947910357359
Navy	1	0.945048309179
Oceanography	1	0.93824940048
juniorhigh	1	0.930993456276
V_ScHooL	1	0.928232502966
Korea_Travel	1	0.921672555948
China_travel	1	0.914135514019
Badminton	1	0.900460299194
Post	1	0.872352285396
TY_Research	1	0.85146898803
IA	2	0.842530282638
home-sale	1	0.733021077283
Aviation	1	0.687912087912
joke	1	0.467582910069
Tainan	1	0.460294117647
Elephants	3	0.348811292719
Hate	4	0.324503654554
