board	degree	nordegree
PACERS	8	7.3431085044
G-S-WARRIORS	8	7.24117987276
LaClippers	7	6.44032921811
GO	7	6.38031450204
BLAZERS	7	6.35072463768
Raptors	7	6.32140796307
MiamiHeat	7	6.32140796307
Hornets	7	6.32140796307
tabletennis	7	6.30685089234
CN_Entertain	7	6.29236071223
FAPL	7	6.15795390669
Hawks	6	5.55621301775
Palmar_Drama	6	5.35042735043
NTU	6	5.15934065934
Cavaliers	5	4.65773809524
RealMadrid	4	3.75299760192
Elephants	4	3.21520287622
Celtics	3	2.87507654623
FCBarcelona	3	2.85410334347
ChicagoBulls	3	2.85410334347
Spurs	2	1.94289261328
Nets	2	1.92496924969
Atletico	2	1.89812007277
Soccer	2	1.81029496819
Rhinos	2	1.6396018858
NBA	2	1.54187192118
Wizards	1	0.976903870162
Orl-Magic	1	0.976903870162
Lionel_Messi	1	0.976903870162
LFP	1	0.976903870162
CONCACAF	1	0.976903870162
BVB_09	1	0.976903870162
Argentina	1	0.976903870162
Bundesliga	1	0.97629444791
ManCity	1	0.975685785536
FCBayern	1	0.97265382225
ManUtd	1	0.968440594059
SuperHeroes	1	0.940504807692
KanColle	1	0.937687237867
MLB	1	0.908826945412
Baseball	1	0.56539017341
Gossiping	1	0.240695170717
