board	degree	nordegree
travel	14	9.63924329081
Japan_Travel	7	4.19410413476
Chat82gether	6	3.88176932617
Salary	4	2.94588235294
RIPE_gender	3	2.91433891993
Scorpio	3	2.81643671266
GetMarry	3	2.61705685619
Drama-Ticket	5	2.08499866773
Matsu	2	1.99617346939
BeautyBody	2	1.97351828499
Lottery	2	1.93448702101
Hotel	2	1.8433451119
memento	2	1.7188358045
biker	2	1.46261682243
Tainan	3	1.38088235294
give	2	1.13611615245
Gamesale	2	1.0440293529
LeeJongSuk	1	0.999361430396
Artistic-Pho	1	0.997450605481
Toronto	1	0.996180776575
Broker	1	0.993650793651
CompBook	1	0.992390615092
Gra-Travels	1	0.991761723701
Canada	1	0.991133628879
Tour-Manager	1	0.988629185092
FengYuan	1	0.985516372796
isLandTravel	1	0.979962429555
JOB-Hunting	1	0.966646077826
littlegift	1	0.963669950739
EuropeTravel	1	0.921130076516
KoreaDrama	1	0.919506462985
Catholic	1	0.91735052755
forsale	12	0.906939682233
e-shopping	1	0.845945945946
nb-shopping	1	0.823250920568
Rent_tao	1	0.782108945527
equal_change	1	0.669089354425
TaichungBun	1	0.605415860735
LoL	2	0.52667003197
Gossiping	9	0.447242244308
HelpBuy	1	0.310639142517
Hate	1	0.0811259136385
