board	degree	nordegree
juniorhigh	5	337.284482759
HRM	2	298.095238095
Marketing	2	284.545454545
PttSurvey	1	223.571428571
ForeignEX	2	100.967741935
optical	1	82.3684210526
TAROT	1	52.1666666667
scholarship	1	47.4242424242
TIT	1	47.4242424242
STUST	1	47.4242424242
NUU_Talk	1	47.4242424242
NUU_ID	1	47.4242424242
NUU-ARCHI	1	47.4242424242
NTUST-ARCH	1	47.4242424242
NTCUST	1	47.4242424242
NTCU	1	47.4242424242
NFU	1	47.4242424242
Lan_Yang	1	47.4242424242
LTU	1	47.4242424242
KSU	1	47.4242424242
HungKuang	1	47.4242424242
CHU	1	47.4242424242
NDHU	1	44.7142857143
NYUST	1	43.4722222222
CTUST	1	43.4722222222
ASIA-uni	1	42.2972972973
NCUT	1	41.1842105263
NCNU	1	41.1842105263
FCU_Talk	1	40.1282051282
swim	2	39.872611465
YZU_Talk	1	39.125
Ecophilia	2	36.3953488372
LoL	10	35.7469164002
NHCUE-Talk	1	35.5681818182
sky	2	34.7777777778
OCU	1	34.0217391304
CYUT	1	34.0217391304
PU_Family	1	32.6041666667
NTUST_Talk	1	28.4545454545
Olympics_ISG	2	28.1981981982
SENIORHIGH	2	25.3441295547
basketballTW	1	22.3571428571
PH-sea	1	22.0422535211
EarthScience	1	22.0422535211
Bus	2	21.9649122807
AirForce	1	21.1486486486
nb-shopping	2	18.630952381
hardware	1	18.4117647059
PublicBike	1	18.4117647059
Cga	1	18.1976744186
Navy	1	17.1978021978
NCHUS	1	16.4736842105
Oceanography	1	15.1941747573
Korea_Travel	1	11.7669172932
Taoyuan	2	11.5073529412
Soccer	2	11.2996389892
Agriculture	1	9.78125
car-pool	1	9.72049689441
Militarylife	2	9.32935916542
MRT	2	9.04624277457
Badminton	1	9.04624277457
THU_Talk	1	8.94285714286
Tennis	1	6.89427312775
Post	1	6.83406113537
Railway	2	6.65957446809
Test	3	6.35031559964
Road	1	5.04838709677
Refresh	1	4.57602339181
Gamesale	2	4.36845778088
learnyf	1	4.3351800554
PC_Shopping	1	4.16223404255
Kaohsiung	2	3.89303482587
AllTogether	2	3.69103773585
Boy-Girl	1	2.21357850071
Aviation	1	2.20422535211
CrossStrait	1	1.98856416773
Baseball	3	1.88176352705
Gossiping	5	1.30730419674
MobileComm	1	1.06101694915
Tainan	1	0.852861035422
IA	1	0.727906976744
WomenTalk	1	0.31287485006
