board	degree	nordegree
BlizzHeroes	81	74.5238095238
OverWatch	9	7.92628024761
Test	18	7.44647105472
C_Chat	24	6.2746408286
Hearthstone	7	5.18702651515
PttNewhand	4	3.77563329312
Suckcomic	4	3.4835837507
AC_In	4	3.2723470988
HatePolitics	10	3.16994125987
FITNESS	3	2.69208715596
Gossiping	41	2.03743689074
shoes	2	1.92142418662
ask	3	1.91789215686
Coffee	2	1.89009661836
hairdo	2	1.83148039789
Steam	2	1.61673553719
PlayStation	2	1.43841911765
Militarylife	2	1.39982110912
LoL	5	1.31667507993
DNF	1	0.999361430396
Biotech	1	0.998086734694
WarCraft	1	0.997450605481
SummonersWar	1	0.995547073791
Koei	1	0.953686776356
Road_Running	1	0.916276346604
Chiayi	1	0.898392652124
japanavgirls	1	0.845032397408
iPhone	1	0.797249108507
CFantasy	1	0.784461152882
biker	1	0.731308411215
WomenTalk	2	0.476625552002
joke	1	0.467582910069
sex	1	0.452835648148
NBA	1	0.341255996511
