board	degree	nordegree
PublicIssue	13	9.01417811254
Notebook	4	3.83813611281
sex	7	3.16984953704
TaichungBun	4	2.42166344294
MobileComm	4	2.05921052632
Trace	2	1.98856416773
Electronics	2	1.97476340694
PSY	2	1.95992485911
SYSOP	2	1.93928128872
Stock	3	1.9352844188
Design	2	1.87200956938
NBA	5	1.70627998256
IA	4	1.68506056528
Live	2	1.67290219134
BabyMother	2	1.48693586698
MenTalk	4	1.27080795778
bridge	1	0.994914176732
Physics	1	0.9861373661
Publish	1	0.984896161108
Office	1	0.979349186483
LivingGoods	1	0.979349186483
share	1	0.973864343497
Doctor-Info	1	0.973258706468
VideoCard	1	0.970843672457
money	1	0.968440594059
FishShrimp	1	0.965453423812
MabinogiHero	1	0.964263709181
Contacts	1	0.963076923077
Soft_Job	1	0.956601466993
SuperBike	1	0.955433455433
Insurance	1	0.952525867316
Browsers	1	0.950789793439
Google	1	0.946763460375
BigPeitou	1	0.93824940048
Headphone	1	0.90777262181
EAseries	1	0.906720741599
E-appliance	1	0.896334478809
japanavgirls	1	0.845032397408
Tech_Job	1	0.747730530339
home-sale	1	0.733021077283
part-time	1	0.72153065929
CrossStrait	1	0.665391156463
ask	1	0.639297385621
HardwareSale	1	0.604947816003
TaiwanDrama	1	0.563152213026
Gamesale	1	0.522014676451
WomenTalk	2	0.476625552002
Gossiping	9	0.447242244308
HatePolitics	1	0.316994125987
LoL	1	0.263335015985
