board	degree	nordegree
Gossiping	1785	166614.61257
MenTalk	336	52568.3546564
LoL	245	21457.0865692
TurtleSoup	37	19837.8240741
marriage	51	12078.8278932
joke	114	11413.4343434
japanavgirls	41	9166.42857143
sex	103	8780.05552618
movie	121	8715.54393305
SET	12	7512.0
ask	64	7259.61494904
CultureShock	8	7154.28571429
CYCU_Talk	16	6163.69230769
Boy-Girl	52	5985.51626591
car	56	4967.44939271
Rockets	18	4829.14285714
C_Chat	113	4520.12779914
China-Drama	20	4503.5971223
Detective	6	4333.84615385
HatePolitics	90	3759.34163701
facelift	11	3713.03921569
medstudent	16	3257.23577236
Salary	33	3043.36607143
CVS	16	2903.1884058
WarringState	6	2682.85714286
BeautySalon	16	2356.70588235
Hate	161	2288.52335552
W-Philosophy	7	2255.44117647
Tennis	18	2233.74449339
Wanted	128	2046.69220945
PingTung	17	2046.53846154
Mavericks	12	2030.27027027
PttLifeLaw	10	1908.53658537
Hunter	18	1878.0
Hsinchu	28	1847.8313253
Hip-Hop	7	1825.83333333
L_TalkandCha	21	1787.99222798
street_style	7	1783.37209302
Loan	6	1707.27272727
Unique_Mika	1	1565.0
LAW	9	1491.35294118
MAC	11	1479.4140625
Beauty	33	1451.69080068
Baseball	81	1371.80561122
Examination	16	1228.95705521
MakeUp	10	1203.84615385
MMA	8	1125.39325843
basketballTW	7	1095.5
MuscleBeach	14	1012.34323432
Pharmacy	4	1001.6
StupidClown	16	986.798029557
StarCraft	4	963.076923077
e-shopping	13	928.01754386
PublicIssue	20	904.624277457
Old-Games	8	894.285714286
Taurus	4	894.285714286
Aves	5	889.204545455
Chat82gether	22	886.955503513
hairdo	9	880.3125
pay_home	3	880.3125
creditcard	15	785.993303571
cosplay	1	782.5
NCCU_EDU	1	782.5
Gamesale	26	738.269364969
drawing	7	730.333333333
MobileComm	26	717.247457627
teeth_salon	4	715.428571429
Gov_owned	3	704.25
E-appliance	9	700.359116022
Test	31	678.072587917
BabyMother	15	652.083333333
talk	45	642.17325228
cat	10	628.514056225
Kaohsiung	25	608.286691542
HsinTien	7	603.818897638
Tech_Job	14	580.946969697
home-sale	14	538.140350877
Teacher	7	528.862068966
piano	2	521.666666667
music	1	521.666666667
f-sexBM	1	521.666666667
Biotech	1	521.666666667
rent-exp	4	500.8
Atletico	12	494.210526316
Jeremy_Lin	7	479.28125
NightLife	5	444.602272727
Aromatherapy	3	440.15625
True-Escape	2	417.333333333
joyinDIY	1	391.25
FamilyCircle	1	391.25
cookclub	6	385.890410959
Notebook	4	379.393939394
hypermall	4	368.235294118
BandPlayer	2	368.235294118
EAseries	6	349.937888199
YuanChuang	2	347.777777778
Hualien	5	346.238938053
Statistics	2	329.473684211
CS_TEACHER	2	329.473684211
RESIT	2	313.0
historia	10	297.52851711
ShuangHe	8	292.865497076
marvel	7	279.872262774
FengYuan	2	272.173913043
postcrossing	2	260.833333333
interdreams	1	260.833333333
allergy	1	260.833333333
YMPT95	1	260.833333333
TTU-COMM	1	260.833333333
FJU_ADBA	1	260.833333333
ServiceInfo	2	250.4
GoodPregnan	2	250.4
MabinogiHero	3	242.844827586
Diary	15	225.721153846
Hong_Kong	2	223.571428571
SummonersWar	1	223.571428571
PttSurvey	1	223.571428571
dog	5	216.160220994
Wine	2	208.666666667
TAROT	2	208.666666667
HsinChuang	6	204.872727273
DC	2	195.625
Lawyer	1	195.625
friends	8	194.86381323
Tainan	15	191.89373297
LivingGoods	2	189.696969697
TaichungBun	11	185.651960784
Thailand	2	184.117647059
Stock	10	181.765389082
biker	8	174.191304348
chicken	2	173.888888889
Anti-Fake	1	173.888888889
GetMarry	5	170.851528384
ChangHua	7	169.657079646
Libra	3	167.678571429
lesbian	3	165.705882353
SENIORHIGH	5	158.400809717
e-seller	2	156.5
babysitte	1	156.5
Doctor-Info	2	145.581395349
KoreaStar	4	142.272727273
LineGames	2	142.272727273
iPhone	6	141.557788945
FITNESS	4	139.888268156
Scorpio	3	138.088235294
SMSlife	2	133.191489362
Drink	2	133.191489362
AllTogether	12	132.877358491
BigBanciao	5	132.179054054
Japandrama	4	130.416666667
feminine_sex	1	130.416666667
Wii	1	130.416666667
Malaysia	1	130.416666667
graduate	3	128.045454545
NTUDormM7	1	120.384615385
Holland	1	120.384615385
Math	2	118.113207547
Unlight	1	111.785714286
JapanStudy	1	111.785714286
Hotel	3	105.902255639
TPC_Police	1	104.333333333
Suckgame	1	104.333333333
Taoyuan	6	103.566176471
gay	4	101.788617886
CATCH	3	99.1901408451
Road_Running	3	98.4965034965
Nurse	2	97.8125
Master_D	1	97.8125
CareerLady	2	92.0588235294
Oracles	1	92.0588235294
CFantasy	5	90.988372093
TOEIC	2	89.4285714286
give	8	84.1680672269
Koei	2	82.3684210526
optical	1	82.3684210526
Transfer	1	82.3684210526
Chiayi	3	79.5762711864
HANGUKMAL	1	78.25
I-Lan	3	76.5489130435
stationery	2	76.3414634146
baking	2	75.421686747
ZCLUB	1	74.5238095238
Mix_Match	1	74.5238095238
WorkanTravel	2	71.1363636364
Google	2	71.1363636364
fashion	1	71.1363636364
Theater	1	71.1363636364
Marketing	1	71.1363636364
ChungLi	3	68.3737864078
Steam	4	67.4932614555
OverWatch	3	66.4386792453
NCHUS	2	65.8947368421
einvoice	2	64.5360824742
wisdom	1	62.6
Food	7	61.7929089444
Suckcomic	3	60.7112068966
pet	1	60.1923076923
ChineseMed	1	60.1923076923
Windows	2	59.619047619
Militarylife	5	58.3084947839
AKB48	3	55.6719367589
COC	2	55.3982300885
need_student	1	53.9655172414
LA	1	53.9655172414
Nantou	2	52.6050420168
Snacks	1	52.1666666667
EDR	1	52.1666666667
Nangang	2	48.90625
PSY	1	48.90625
NailSalon	1	48.90625
studyteacher	1	47.4242424242
SuperHeroes	3	47.2651006711
SportLottery	3	46.3322368421
GTA	1	46.0294117647
KoreaStudy	1	44.7142857143
Q_ary	1	43.4722222222
Palmar_Drama	6	43.1393568147
BL	1	42.2972972973
part-time	4	41.4569536424
NCNU	1	41.1842105263
CHING	1	41.1842105263
Aquarium	1	41.1842105263
PlayStation	4	40.9819967267
NTU	6	40.2141327623
Minecraft	1	40.1282051282
forsale	22	39.5705777871
Taitung	1	39.125
PCSH_talk	1	39.125
PC26th318	1	39.125
Japan_Travel	5	37.3686723973
nmsmusic	3	37.3607427056
HandMade	1	37.2619047619
Aussiekiwi	1	37.2619047619
Key_Mou_Pad	2	35.9770114943
THU_Talk	2	35.7714285714
GUNDAM	1	34.0217391304
unemployed	1	33.2978723404
PU_Family	1	32.6041666667
HatePicket	1	31.9387755102
money	1	30.6862745098
HomeTeach	1	30.0961538462
HelpBuy	8	28.8396199251
DummyHistory	2	28.0717488789
poem	1	27.9464285714
FishShrimp	1	27.9464285714
BuyTogether	4	26.0833333333
Contacts	1	26.0833333333
WOW	2	25.9751037344
Hearthstone	3	25.7495429616
BabyProducts	5	25.7063074901
Cancer	2	25.6557377049
PublicServan	1	24.8412698413
Storage_Zone	1	24.0769230769
MoveHouse	1	23.7121212121
MacShop	4	23.3582089552
studyabroad	1	23.3582089552
NIHONGO	1	23.3582089552
BigSanchung	2	22.8467153285
PH-sea	1	22.0422535211
TaiwanDrama	4	20.626029654
Live	2	20.4575163399
Clothes	9	20.01341964
Aries	1	19.5625
Browsers	1	19.3209876543
MiamiHeat	4	18.7987987988
hardware	1	18.4117647059
PublicBike	1	18.4117647059
Capricornus	1	18.1976744186
Lonely	2	17.9885057471
Drama-Ticket	5	17.8816270567
MysticWiz	1	17.5842696629
Coffee	1	17.1978021978
TW-language	1	16.8279569892
PC_Shopping	2	16.6489361702
HsinYi	1	15.8080808081
Taipei	2	15.6892230576
TuCheng	1	15.1941747573
BigPeitou	1	15.1941747573
Warfare	1	13.9732142857
Lefty	1	13.6086956522
juniorhigh	1	13.4913793103
V_ScHooL	1	12.9338842975
Sagittarius	1	12.52
Neihu	2	12.2504892368
watch	1	11.6791044776
EuropeTravel	1	11.6791044776
IA	4	11.6465116279
CarShop	1	11.5925925926
bicycle	1	11.3405797101
BigShiLin	1	10.3642384106
ToS	1	10.0320512821
Android	1	9.20588235294
