board	degree	nordegree
Buddhism	12	2423.22580645
YLclub	1	782.5
Aerobics	1	223.571428571
GFRIEND	2	169.189189189
car-pool	4	155.527950311
Folklore	2	133.191489362
SportLottery	5	128.700657895
ChangHua	5	86.5597345133
Coffee	2	68.7912087912
tennis_life	1	68.0434782609
NailSalon	1	48.90625
MakeUp	2	48.1538461538
watch	2	46.7164179104
Aquarium	1	41.1842105263
Gamesale	6	39.3161200279
Taitung	1	39.125
Chiayi	2	35.3672316384
E-appliance	2	34.5856353591
SENIORHIGH	2	25.3441295547
SportsShop	2	25.140562249
Food	4	20.17727639
Clothes	9	20.01341964
Lifeismoney	2	18.4660766962
AC_Sale	1	15.8080808081
mobilesales	3	13.1758652947
Nantou	1	13.1512605042
cookclub	1	10.7191780822
PlayStation	2	10.2454991817
Miaoli	1	10.2287581699
Militarylife	2	9.32935916542
dog	1	8.64640883978
Gossiping	12	7.53007217322
HardwareSale	2	6.1252446184
iPhone	1	3.93216080402
BeautyMarket	2	3.75074895147
Tainan	2	3.41144414169
Stock	1	1.81765389082
car	1	1.58400809717
TaichungBun	1	1.53431372549
LoL	2	1.42987665601
forsale	4	1.30811827395
AllTogether	1	0.922759433962
Baseball	2	0.836339345357
movie	1	0.59528337771
C_Chat	1	0.353992309432
