board	degree	nordegree
Food	21	11.7124019957
Taipei	9	7.1715885947
SongShan	4	3.67586611861
Daan	4	3.56898517674
Datong	3	2.9472693032
BuyTogether	4	2.47920792079
ShuangHe	3	2.46198217095
forsale	31	2.34292751244
give	4	2.2722323049
BigShiLin	2	1.82400932401
I-Lan	2	1.78959405374
NTU_GoodLife	2	1.52459814905
equal_change	2	1.33817870885
MacShop	2	1.18695487296
Diary	2	1.0016
ChineseTeach	1	0.999361430396
Kitty_Sanrio	1	0.996180776575
TamShui	1	0.981191222571
DC	1	0.979962429555
Zhongzheng	1	0.962484624846
HsinYi	1	0.940504807692
BigPeitou	1	0.93824940048
Nangang	1	0.924394565859
Wen-Shan	1	0.923303834808
Chiayi	1	0.898392652124
BigSanchung	1	0.851005981512
e-coupon	1	0.669661959777
HelpBuy	2	0.621278285034
mobilesales	1	0.594153378891
Drama-Ticket	1	0.416999733546
Test	1	0.413692836373
Gossiping	2	0.0993871654018
