board	degree	nordegree
forsale	80	28.8412808109
textbook	23	22.3155610663
NTU_GoodLife	8	7.55126658625
Mollie	4	3.96453451552
Clothes	5	3.65312791783
give	4	3.14257028112
NihonBook	3	2.96963946869
GraduateCram	3	2.96588755527
Accounting	3	2.93071161049
CompBook	2	1.9873015873
need_student	2	1.97103274559
LicenseShop	2	1.96484620213
equal_change	2	1.76736307171
e-coupon	2	1.75350140056
Taoyuan	2	1.69006479482
Hsinchu	2	1.66400850611
BuyTogether	2	1.65520888419
BeautyMarket	2	1.61174047374
BabyProducts	2	1.6010230179
TaichungBun	2	1.47711184521
mobilesales	2	1.4470642626
SF	1	0.999361430396
LHU	1	0.998086734694
underwear	1	0.997450605481
DivingSport	1	0.997450605481
puzzle	1	0.996815286624
SAN	1	0.996815286624
NTU-Textbook	1	0.996180776575
UCH	1	0.994282083863
travelbooks	1	0.993020304569
FJU	1	0.992390615092
SW_Job	1	0.991761723701
Wanted	2	0.990506329114
USC	1	0.989254108723
Deutsch	1	0.989254108723
studyteacher	1	0.98738170347
PVC-GK	1	0.979962429555
NewAge	1	0.979962429555
Aussiekiwi	1	0.979349186483
baking	1	0.978125
TOEIC	1	0.97507788162
Storage_Zone	1	0.973258706468
hardware	1	0.972049689441
LAW	1	0.969040247678
BigPeitou	1	0.961893054702
book	1	0.960122699387
China_travel	1	0.951367781155
Rent_ya	1	0.95021250759
historia	1	0.942203491872
Chiayi	1	0.93544530783
SENIORHIGH	1	0.933770883055
Rent_tao	1	0.915204678363
Lions	1	0.910413030832
nb-shopping	1	0.891737891738
NTU	1	0.85989010989
BabyMother	1	0.834221748401
HardwareSale	1	0.790803436079
MacShop	1	0.786432160804
AllTogether	1	0.725208526413
Tainan	1	0.722196585141
HelpBuy	1	0.699910554562
movie	1	0.676610462603
Hate	1	0.582217261905
Gossiping	2	0.481390341433
