board	degree	nordegree
SportsShop	7	6.44791053561
bicycle-tour	5	4.96510152284
AllTogether	4	2.90083410565
DC_SALE	3	2.75043936731
ask	3	2.43390357698
Japan_Travel	3	2.39540816327
MacDev	2	1.99236155315
E-appliance	2	1.88440698374
StupidClown	2	1.84551886792
ChangHua	2	1.8357771261
HardwareSale	2	1.58160687216
joke	2	1.57286432161
TaichungBun	2	1.47711184521
Gossiping	5	1.20347585358
Hate	2	1.16443452381
forsale	3	1.08154803041
Hokuto	1	0.998723675814
outdoorgear	1	0.995547073791
Jeans	1	0.993020304569
Ptt-Charity	1	0.988005050505
Sony-style	1	0.984896161108
Pedal	1	0.979962429555
THSRshare	1	0.978736710444
model	1	0.978125
shoes	1	0.973864343497
stationery	1	0.970843672457
Plant	1	0.967841682127
DSLR	1	0.967243510507
DiabloEX	1	0.965453423812
PublicBike	1	0.958946078431
FITNESS	1	0.953686776356
gay	1	0.937687237867
HsinChuang	1	0.913601868068
Lifeismoney	1	0.906195715113
cat	1	0.903579676674
biker	1	0.883681535855
Hsinchu	1	0.832004253057
BuyTogether	1	0.827604442094
Gamesale	1	0.789606458123
sex	1	0.781328007988
MobileComm	1	0.776674937965
mobilesales	1	0.723532131299
movie	1	0.676610462603
Baseball	1	0.56539017341
WomenTalk	1	0.541897506925
