board	degree	nordegree
CATCH	36	33.0052724077
home-sale	36	26.3887587822
creditcard	24	18.6587183308
NewActivity	26	17.5615019422
WomenTalk	56	13.3455154561
Gossiping	247	12.2743149271
biker	16	11.7009345794
MobileComm	22	11.3256578947
medstudent	12	11.1255924171
LinKou	10	9.3993993994
Tainan	20	9.20588235294
MRT	13	9.01417811254
NightLife	9	8.52087114338
Old-Games	9	8.39892665474
CarShop	9	8.28529411765
movie	22	8.20934668574
Android	9	8.1181556196
Taoyuan	10	7.42057847321
Baseball	41	7.09005524862
Bioindustry	7	6.92477876106
LoL	26	6.84671041562
C_Chat	26	6.79752756432
sex	15	6.79253472222
hypermall	7	6.70851194121
Examination	7	5.79323109466
toberich	6	5.48161120841
EuropeanCar	5	4.88757026858
Gamesale	9	4.69813208806
Military	6	4.68796804793
Stock	7	4.51566364386
Salary	6	4.41882352941
part-time	6	4.32918395574
RealMadrid	6	4.05090595341
PC_Shopping	5	4.03142709943
iPhone	5	3.98624554254
WarringState	4	3.94703656999
StarCraft	4	3.93463230673
BikerShop	6	3.68813825609
Headphone	4	3.63109048724
I-Lan	4	3.57918810749
Hsinchu	5	3.51054284432
Kaohsiung	7	3.45256854712
Lifeismoney	4	3.28781512605
CFantasy	4	3.13784461153
Japan_Travel	5	2.99578866769
Tech_Job	4	2.99092212136
Car-rent	3	2.96776232617
ChainChron	3	2.96401515152
ONE_PIECE	3	2.61997767857
MuscleBeach	3	2.51338329764
AC_In	3	2.4542603241
HardwareSale	4	2.41979126401
talk	10	2.40769230769
MacShop	4	2.37390974592
Militarylife	3	2.09973166369
Aviation	3	2.06373626374
Datong	2	1.96484620213
DSLR	2	1.91320293399
Insurance	2	1.90505173463
PttLifeLaw	2	1.90042501518
hardware	2	1.89696969697
tax	2	1.87312986236
COC	2	1.86531585221
watch	2	1.84226015303
Jeremy_Lin	2	1.81449275362
E-appliance	2	1.79266895762
mobilesales	3	1.78246013667
Wanted	16	1.77676860853
FORMULA1	2	1.76338028169
GetMarry	2	1.74470457079
SportsShop	2	1.72546857773
ChangHua	2	1.55180961824
Hate	19	1.54139235913
BabyMother	2	1.48693586698
AllTogether	3	1.4397424103
Beauty	2	1.1427528295
CSU	1	0.996180776575
CodeJob	1	0.995547073791
MJ	1	0.994282083863
Tobacco	1	0.983658076681
San-X	1	0.983040201005
NailSalon	1	0.979962429555
NCU_Talk	1	0.970843672457
facelift	1	0.968440594059
Health_Life	1	0.964263709181
HK-movie	1	0.960712093309
MenTalk	3	0.953105968331
LAW	1	0.948484848485
Coffee	1	0.945048309179
BigPeitou	1	0.93824940048
joke	2	0.935165820137
Warfare	1	0.933214072749
Keelung	1	0.931547619048
Yunlin	1	0.930993456276
Sijhih	1	0.930993456276
MAC	1	0.924394565859
CVS	1	0.918966529654
Road_Running	1	0.916276346604
Teacher	1	0.915204678363
car-pool	1	0.906720741599
BeautySalon	1	0.902017291066
dog	1	0.896334478809
PingTung	1	0.876259798432
cat	1	0.862734288864
Spurs	1	0.862258953168
Hunter	1	0.852861035422
ShuangHe	1	0.82066072365
StupidClown	1	0.794013191273
PlayStation	1	0.719209558824
Boy-Girl	1	0.688820422535
ask	1	0.639297385621
Railway	1	0.624750499002
HelpBuy	2	0.621278285034
Test	1	0.413692836373
NBA	1	0.341255996511
Rhinos	3	0.236226415094
forsale	3	0.226734920558
