board	degree	nordegree
I-Lan	8	7.15837621498
ShuangHe	7	5.74462506555
give	10	5.68058076225
Hsinchu	7	4.91475998205
BuyTogether	7	4.33861386139
HsinChuang	5	4.2527173913
Pet_Get	4	3.90517779164
EuropeTravel	4	3.68452030606
Rent_apart	4	3.60391479562
BigBanciao	4	3.36378291241
Examination	4	3.31041776838
Tainan	7	3.22205882353
Ind-travel	4	3.21685508736
ChangHua	4	3.10361923649
pet	3	2.95097423004
LinKou	3	2.81981981982
ChungLi	3	2.65104460757
BigSanchung	3	2.55301794454
WomenTalk	10	2.38312776001
mobilesales	4	2.37661351557
Spain	2	1.96855345912
AnimalGoods	2	1.96731615336
MayDay	2	1.96608040201
TamShui	2	1.96238244514
Aquarium	2	1.95258889582
soho	2	1.94289261328
Google	2	1.89352692075
TaichungBun	3	1.81624758221
car-pool	2	1.8134414832
Japan_Travel	3	1.79747320061
dog	2	1.79266895762
Food	3	1.6732002851
Rent_ya	2	1.65959703075
Lifeismoney	2	1.64390756303
Rent_tao	2	1.56421789105
Gossiping	27	1.34172673292
Stock	2	1.29018961253
HardwareSale	2	1.20989563201
forsale	15	1.13367460279
MobileComm	2	1.02960526316
gift	1	0.999361430396
cohabitation	1	0.996180776575
Liverpool	1	0.993650793651
TKU_info	1	0.992390615092
Portugal	1	0.991761723701
AdvEduUK	1	0.990506329114
Bioindustry	1	0.989254108723
Kaohsiung	2	0.986448156319
MapleStory	1	0.984896161108
GoodPregnan	1	0.98427672956
TaiShan	1	0.981806775408
NCU_Talk	1	0.970843672457
rabbit	1	0.966646077826
poem	1	0.965453423812
love-vegetal	1	0.965453423812
Health_Life	1	0.964263709181
Jinmen	1	0.963076923077
Nurse	1	0.960712093309
THSRshare	1	0.956601466993
lesbian	1	0.948484848485
Hualien	1	0.932657926103
HelpBuy	3	0.931917427551
Sijhih	1	0.930993456276
Wen-Shan	1	0.923303834808
MakeUp	1	0.923303834808
aqua-shop	1	0.921672555948
bicycle	1	0.918966529654
SongShan	1	0.918966529654
toberich	1	0.913601868068
BigShiLin	1	0.912004662005
Headphone	1	0.90777262181
Accounting	1	0.906195715113
BeautySalon	1	0.902017291066
Android	1	0.902017291066
Daan	1	0.892246294185
DC_SALE	1	0.864640883978
SportsShop	1	0.862734288864
marvel	1	0.851005981512
marriage	1	0.822818086225
Perfume_Shop	1	0.799284984678
BabyMother	1	0.743467933492
Salary	1	0.736470588235
Chat82gether	1	0.646961554361
Railway	1	0.624750499002
car	1	0.613004308656
MacShop	1	0.593477436481
C_Chat	2	0.522886735717
Gamesale	1	0.522014676451
BabyProducts	1	0.506964690638
CN_Entertain	1	0.498566422428
AllTogether	1	0.479914136768
joke	1	0.467582910069
sex	1	0.452835648148
Wanted	4	0.444192152132
IA	1	0.421265141319
movie	1	0.373152122079
