board	degree	nordegree
Bank_Service	24	5634.0
Lifeismoney	24	2659.11504425
ForeignEX	10	2524.19354839
Hate	108	1029.79578021
car	24	912.388663968
Oneday	1	782.5
CATCH	8	705.352112676
points	7	703.532110092
IC-Card	6	521.666666667
ABC	1	521.666666667
Android	7	451.088235294
Broad_Band	2	329.473684211
RIPE_gender	3	306.195652174
China_travel	5	266.156462585
Taoyuan	9	233.023897059
WorkinChina	2	178.857142857
HelpBuy	19	162.67348114
TuCheng	3	136.747572816
Lottery	2	118.113207547
MobileComm	9	85.9423728814
BigBanciao	4	84.5945945946
optical	1	82.3684210526
MenTalk	13	78.6923534662
BeautyBody	1	74.5238095238
NightLife	2	71.1363636364
WomenTalk	15	70.3968412635
FengYuan	1	68.0434782609
L_TalkandCha	4	64.8704663212
LinKou	2	62.6
StarCraft	1	60.1923076923
Old-Games	2	55.8928571429
MOD	1	55.8928571429
TaichungBun	6	55.2352941176
Loan	1	47.4242424242
BabyMother	4	46.3703703704
CVS	2	45.3623188406
EatToDie	1	41.1842105263
MacShop	5	36.4972014925
iPhone	3	35.3894472362
dog	2	34.5856353591
Stock	4	29.0824622532
ask	4	28.3578708947
Drama-Ticket	6	25.7495429616
home-sale	3	24.7105263158
HardwareSale	4	24.5009784736
Gossiping	21	23.0608460305
TOEIC	1	22.3571428571
Wanted	13	21.1115102171
forsale	14	16.0244488559
Japan_Travel	3	13.452722063
aqua-shop	1	11.7669172932
BigShiLin	1	10.3642384106
Headphone	1	9.8427672956
car-pool	1	9.72049689441
MRT	2	9.04624277457
Key_Mou_Pad	1	8.99425287356
Daan	1	8.28042328042
heart	2	7.75712515489
Tainan	3	7.6757493188
DC_SALE	1	6.38775510204
Zastrology	1	4.78593272171
marriage	1	4.64391691395
biker	1	2.72173913043
movie	2	2.38113351084
Hsinchu	1	2.35692771084
Boy-Girl	1	2.21357850071
Aviation	1	2.20422535211
equal_change	1	2.02196382429
Baseball	3	1.88176352705
Railway	1	1.66489361702
Gamesale	1	1.09211444522
BabyProducts	1	1.02825229961
Diary	1	1.00320512821
