board	degree	nordegree
Broken-heart	10	3639.53488372
Childhood	1	782.5
adulation	4	447.142857143
happy	10	420.698924731
Lonely	9	364.267241379
Diary	17	289.926282051
Lucky	1	195.625
Beauty	12	191.95911414
Dreamland	3	178.291139241
MenTalk	16	119.202618268
Wanted	30	112.42816092
Memory	3	99.8936170213
SayLove	1	97.8125
Sad	4	86.6435986159
Hate	29	74.2505359359
BaseballXXXX	5	30.3529868115
FORMULA1	2	29.8095238095
heart	2	7.75712515489
marvel	1	5.71167883212
SuperHeroes	1	5.25167785235
Gossiping	6	1.8825180433
Baseball	3	1.88176352705
HatePolitics	1	0.464116251483
