board	degree	nordegree
Preschooler	6	1104.70588235
RTS	8	715.428571429
marriage	12	668.724035608
Germany	2	368.235294118
ADS	2	347.777777778
Gossiping	64	214.188719594
GHIBLI	1	173.888888889
Militarylife	8	149.269746647
JinYong	1	111.785714286
Teacher	3	97.1379310345
historia	5	74.3821292776
DummyHistory	3	63.1614349776
PokeMon	1	57.962962963
Drink	1	33.2978723404
NBAEasyChat	1	31.3
mobile-game	1	26.0833333333
HardwareSale	4	24.5009784736
Koei	1	20.5921052632
stationery	1	19.0853658537
CFantasy	2	14.5581395349
Warfare	1	13.9732142857
Old-Games	1	13.9732142857
Key_Mou_Pad	1	8.99425287356
ask	2	7.08946772367
ONE_PIECE	1	6.89427312775
japanavgirls	1	5.45296167247
SuperHeroes	1	5.25167785235
HatePolitics	3	4.17704626335
Salary	1	2.79464285714
movie	2	2.38113351084
Baseball	3	1.88176352705
Beauty	1	1.33304940375
Kaohsiung	1	0.973258706468
joke	1	0.87822671156
C_Chat	1	0.353992309432
