board	degree	nordegree
lesbian	10	9.64263709181
LGBT_SEX	7	6.91603535354
transgender	5	4.9306868305
bi-sexual	4	3.95202020202
Queer_drama	3	2.98854232973
China-Drama	3	2.92523364486
Gossiping	11	2.64764687788
Drama-Ticket	3	2.46586134454
marvel	2	1.86754176611
StupidClown	2	1.84551886792
iPhone	2	1.76736307171
Boy-Girl	2	1.7066521265
movie	2	1.35322092521
Hate	2	1.16443452381
WomenTalk	2	1.08379501385
NetRumor	1	0.999361430396
traffic	1	0.998086734694
Russian	1	0.997450605481
Italiano	1	0.996815286624
the_L_word	1	0.996180776575
TAS	1	0.995547073791
NTUcourse	1	0.995547073791
Brand	1	0.993650793651
Transfer	1	0.993020304569
TimmyJohnny	1	0.992390615092
HANGUKMAL	1	0.992390615092
Statistics	1	0.989879822897
NCCU	1	0.989879822897
Thailand	1	0.986759142497
KTV	1	0.9861373661
electronic	1	0.985516372796
IELTS	1	0.983040201005
BB-Love	1	0.981806775408
Capricornus	1	0.97629444791
Doctor-Info	1	0.975685785536
stationery	1	0.970843672457
PuzzleDragon	1	0.969040247678
prozac	1	0.956017104459
Keelung	1	0.954850518609
BoardGame	1	0.953105968331
bicycle	1	0.952525867316
Rent_ya	1	0.95021250759
SENIORHIGH	1	0.933770883055
dog	1	0.932657926103
Palmar_Drama	1	0.891737891738
e-coupon	1	0.87675070028
part-time	1	0.858946212953
Japan_Travel	1	0.798469387755
Gamesale	1	0.789606458123
joke	1	0.786432160804
Kaohsiung	1	0.781718281718
Test	1	0.775520317146
Tainan	1	0.722196585141
HatePolitics	1	0.721198156682
forsale	2	0.721032020272
LoL	1	0.64749689698
C_Chat	1	0.610612563402
Baseball	1	0.56539017341
