board	degree	nordegree
Examination	27	22.3453199365
Chat82gether	33	21.3497312939
forsale	282	21.3130825325
BabyProducts	41	20.7855523162
ShuangHe	24	19.6958573676
PttEarnMoney	177	17.6144601297
BigSanchung	16	13.6160957042
TaichungBun	21	12.7137330754
equal_change	19	12.7126977341
BigBanciao	14	11.7732401934
BabyMother	14	10.4085510689
TuCheng	11	10.3207434053
BuyTogether	14	8.67722772277
cat	10	8.62734288864
SongShan	9	8.27069876688
mobilesales	12	7.1298405467
Neihu	9	6.78468208092
nb-shopping	8	6.58600736454
BigShiLin	7	6.38403263403
PSY	6	5.87977457733
Taitung	6	5.85046728972
BeautyMarket	12	5.80705009276
lesbian	6	5.69090909091
Sijhih	6	5.58596073766
PingTung	6	5.25755879059
Post	6	5.23411371237
Taoyuan	7	5.19440493125
HardwareSale	8	4.83958252802
shoes	5	4.80356046654
Kaohsiung	9	4.43901670344
GetMarry	5	4.36176142698
HsinChuang	5	4.2527173913
Hsinchu	6	4.21265141319
Wanted	36	3.99772936919
Perfume_Shop	5	3.99642492339
Clothes	20	3.96252690214
TaiShan	4	3.92722710163
MoveHouse	4	3.83813611281
Design	4	3.74401913876
Zhongshan	4	3.72840976772
toberich	4	3.65440747227
Rent_apart	4	3.60391479562
memento	4	3.43767160901
barterbooks	6	3.36679813553
Lifeismoney	4	3.28781512605
Gossiping	66	3.27977645826
Rent_tao	4	3.12843578211
friends	4	3.01106301106
Diary	6	3.0048
FengYuan	3	2.95654911839
GoodPregnan	3	2.95283018868
HandMade	3	2.92159303049
AC_Sale	3	2.82151442308
BigPeitou	3	2.81474820144
HelpBuy	9	2.79575228265
Nangang	3	2.77318369758
CarShop	3	2.76176470588
BeautySalon	3	2.7060518732
Japan_Travel	4	2.39663093415
sex	5	2.26417824074
NTU	4	2.11058664869
Boy-Girl	3	2.06646126761
e-coupon	3	2.00898587933
PlayBaseball	2	1.98478123018
Pet_boarding	2	1.97351828499
FixMyHouse	2	1.97103274559
travelbooks	2	1.96979232222
AnimalGoods	2	1.96731615336
LivingGoods	2	1.95869837297
Interior	2	1.95380774032
BB-Love	2	1.94894146949
San-Ying	2	1.94048357099
studyabroad	2	1.91789215686
photo-buy	2	1.91789215686
CareerLady	2	1.91671769749
Soft_Job	2	1.91320293399
PVC-GK	2	1.91203420892
WomenTalk	8	1.90650220801
Tour-Agency	2	1.86977299881
Nantou	2	1.85866983373
Wen-Shan	2	1.84660766962
Chiayi	2	1.79678530425
Daan	2	1.78449258837
MacShop	3	1.78043230944
BusTimes	2	1.68733153639
biker	2	1.46261682243
talk	6	1.44461538462
Tainan	3	1.38088235294
Food	2	1.11546685674
Gamesale	2	1.0440293529
MobileComm	2	1.02960526316
ukulele	1	0.998723675814
ChemEng	1	0.998086734694
Board	1	0.997450605481
J-PopStation	1	0.996180776575
Nationals	1	0.994914176732
Wanhua	1	0.992390615092
SW_Job	1	0.988629185092
Donate-Blood	1	0.988629185092
DirectSales	1	0.986759142497
Ptt-Charity	1	0.985516372796
postcrossing	1	0.984896161108
Hong_Kong	1	0.982423101067
FongShan	1	0.981191222571
GTA	1	0.978736710444
ToS_Match	1	0.976903870162
BL	1	0.976903870162
e-seller	1	0.97507788162
Aussiekiwi	1	0.973864343497
love-vegetal	1	0.965453423812
AllTogether	2	0.959828273536
TaichungCont	1	0.956017104459
Shu-Lin	1	0.954850518609
stationery	1	0.95021250759
baking	1	0.94963592233
LicenseShop	1	0.940504807692
Scorpio	1	0.938812237552
points	1	0.934886499403
MakeUp	1	0.923303834808
Teacher	1	0.915204678363
ToS	1	0.909355026148
DC_SALE	1	0.864640883978
SENIORHIGH	1	0.863686534216
SportsShop	1	0.862734288864
MuscleBeach	1	0.837794432548
Drama-Ticket	2	0.833999467093
Test	2	0.827385672746
RiverChen	1	0.806285419887
PC_Shopping	1	0.806285419887
StupidClown	1	0.794013191273
ChangHua	1	0.775904809122
movie	2	0.746304244158
Stock	1	0.645094806265
ask	1	0.639297385621
Hate	3	0.243377740915
