board	degree	nordegree
BeautySalon	13	11.7262247839
FITNESS	8	7.17889908257
ask	7	4.47508169935
Chiayi	4	3.5935706085
Road_Running	3	2.74882903981
TaichungBun	4	2.42166344294
Wanted	20	2.22096076066
WomenTalk	9	2.14481498401
MobileComm	4	2.05921052632
MAC	2	1.84878913172
MakeUp	2	1.84660766962
Tainan	4	1.84117647059
Daan	2	1.78449258837
WOW	2	1.73311184939
biker	2	1.46261682243
Crystal	1	0.998723675814
Self-Healing	1	0.998086734694
Lucky	1	0.994914176732
Gossiping	20	0.993871654018
Disney	1	0.992390615092
Mancare	1	0.991133628879
Interior	1	0.976903870162
Jewelry	1	0.974470734745
BeautyMarket	2	0.967841682127
HomeTeach	1	0.967841682127
AllTogether	2	0.959828273536
THSRshare	1	0.956601466993
HelpBuy	3	0.931917427551
Wen-Shan	1	0.923303834808
KoreaDrama	1	0.919506462985
Bank_Service	1	0.907246376812
Baseball	5	0.864640883978
e-shopping	1	0.845945945946
Tech_Job	1	0.747730530339
BuyTogether	1	0.619801980198
Japan_Travel	1	0.599157733538
mobilesales	1	0.594153378891
LoL	2	0.52667003197
C_Chat	2	0.522886735717
Kaohsiung	1	0.493224078159
Drama-Ticket	1	0.416999733546
forsale	3	0.226734920558
