board	degree	nordegree
Diary	46	23.0368
Lonely	17	13.9074751699
Beauty	24	13.713033954
Sad	14	11.8176914779
MenTalk	32	10.1664636622
dreams-wish	10	9.01497695853
Hate	102	8.27484319113
DietDiary	8	7.5150060024
Wanted	56	6.21869012985
Dreamland	6	5.71167883212
Memory	6	5.5041031653
FORMULA1	4	3.52676056338
talk	13	3.13
heart	4	2.63912310287
Lucky	2	1.98982835346
kindness	2	1.97850821745
wisdom	2	1.96855345912
adulation	2	1.93090684762
pighead	1	0.968440594059
HomeTeach	1	0.967841682127
nmsmusic	1	0.805870236869
Gossiping	13	0.646016575112
MacShop	1	0.593477436481
forsale	5	0.377891534264
