board	degree	nordegree
Diary	19	16.6024567281
Hate	12	6.98660714286
Psychiatry	4	3.9125
Wanted	7	3.4667721519
love	3	2.98095238095
nmsmusic	2	1.94772868699
Lonely	2	1.93688118812
Sad	2	1.93329215565
PttEarnMoney	2	1.71978021978
talk	2	1.69006479482
Wei-Lun	1	0.991761723701
YuanChuang	1	0.991133628879
Lefty	1	0.989879822897
Memory	1	0.988005050505
TNFSH102nd	1	0.98427672956
Dreamland	1	0.983040201005
dreams-wish	1	0.973258706468
FORMULA1	1	0.964858199753
happy	1	0.960122699387
BoardGame	1	0.953105968331
creditcard	1	0.909355026148
Beauty	1	0.875279642058
Boy-Girl	1	0.85332606325
sex	1	0.781328007988
MenTalk	1	0.773221343874
Tainan	1	0.722196585141
LoL	1	0.64749689698
Gossiping	2	0.481390341433
