board	degree	nordegree
L_LifeInfo	6	2449.56521739
kualab	9	2223.94736842
car	36	2052.87449393
Gossiping	137	981.471698744
Fund	2	695.555555556
medstudent	6	458.048780488
Tech_Job	12	426.818181818
Salary	12	402.428571429
Cloud	1	391.25
PublicIssue	13	382.203757225
Stock	14	356.260162602
Foreign_Inv	1	260.833333333
GoodPregnan	2	250.4
Wanted	42	220.359195402
HatePolitics	21	204.675266904
specialman	1	195.625
Lawyer	1	195.625
Ind-travel	6	147.874015748
Boy-Girl	8	141.669024045
tax	3	132.877358491
Baseball	24	120.432865731
marriage	5	116.097922849
BabyMother	6	104.333333333
pay_home	1	97.8125
Headphone	3	88.5849056604
Jeremy_Lin	3	88.03125
Rent_apart	3	81.8895348837
GossipPicket	8	79.9361532322
homemaker	1	71.1363636364
tennis_life	1	68.0434782609
Kaohsiung	8	62.2885572139
WomenTalk	14	61.3234706118
AnimalGoods	1	60.1923076923
points	2	57.4311926606
TaiShan	1	53.9655172414
sex	8	52.966684294
Hate	24	50.854112603
Loan	1	47.4242424242
Food	6	45.3988718775
teeth_salon	1	44.7142857143
Examination	3	43.2055214724
toberich	2	42.2972972973
share	1	37.2619047619
creditcard	3	31.4397321429
money	1	30.6862745098
facelift	1	30.6862745098
FishShrimp	1	27.9464285714
MabinogiHero	1	26.9827586207
forsale	18	26.4893950475
Jinmen	1	26.0833333333
Contacts	1	26.0833333333
Live	2	20.4575163399
Option	1	19.5625
Browsers	1	19.3209876543
PttLifeLaw	1	19.0853658537
PublicBike	1	18.4117647059
IA	5	18.1976744186
Google	1	17.7840909091
Gamesale	4	17.4738311235
Windows	1	14.9047619048
TaichungBun	3	13.8088235294
Taoyuan	2	11.5073529412
CVS	1	11.3405797101
China_travel	1	10.6462585034
swim	1	9.96815286624
Agriculture	1	9.78125
movie	4	9.52453404336
Hsinchu	2	9.42771084337
Ecophilia	1	9.0988372093
Chiayi	1	8.8418079096
sky	1	8.69444444444
NewActivity	2	8.32446808511
Tainan	3	7.6757493188
MenTalk	4	7.45016364177
PingTung	1	7.0814479638
Olympics_ISG	1	7.04954954955
Tennis	1	6.89427312775
HardwareSale	2	6.1252446184
TY_Research	1	5.7326007326
HsinChuang	1	5.69090909091
Bus	1	5.49122807018
japanavgirls	1	5.45296167247
MuscleBeach	1	5.16501650165
Road	1	5.04838709677
NBA	3	4.66236345581
Clothes	4	3.95326807704
iPhone	1	3.93216080402
ChangHua	1	3.46238938053
Soccer	1	2.82490974729
Militarylife	1	2.33233979136
MRT	1	2.26156069364
Elephants	4	2.10508617066
e-coupon	1	2.02720207254
CrossStrait	1	1.98856416773
Railway	1	1.66489361702
BuyTogether	1	1.63020833333
TaiwanDrama	1	1.28912685338
MobileComm	1	1.06101694915
AllTogether	1	0.922759433962
Drama-Ticket	1	0.715265082267
Test	1	0.705590622182
LoL	1	0.357469164002
Rhinos	2	0.341889677772
