board	degree	nordegree
Statistics	2	329.473684211
TWproducts	1	223.571428571
StrikeShoot	1	104.333333333
cookclub	3	96.4726027397
Instant_Food	1	82.3684210526
car	7	77.6163967611
HateP_Picket	3	51.5934065934
Eng-Class	2	36.6081871345
ForeignEX	1	25.2419354839
MacShop	4	23.3582089552
HatePolitics	6	16.7081850534
IC-Card	1	14.4907407407
NBA	5	12.9510095995
MAC	1	12.2265625
watch	1	11.6791044776
MenTalk	5	11.6408806903
TaichungBun	2	6.13725490196
MuscleBeach	1	5.16501650165
WomenTalk	4	5.00599760096
iPhone	1	3.93216080402
Hsinchu	1	2.35692771084
PublicIssue	1	2.26156069364
travel	1	2.2104519774
Gossiping	6	1.8825180433
ask	1	1.77236693092
TaiwanDrama	1	1.28912685338
BabyProducts	1	1.02825229961
Kaohsiung	1	0.973258706468
movie	1	0.59528337771
Baseball	1	0.209084836339
Wanted	1	0.124920178799
