Name	Degree	NorDegree
home-sale	1	0.364217252396
CrossStrait	3	0.502875399361
biker	3	0.367412140575
Lions	1	2.00319488818
Texas	1	0.0159744408946
WomenTalk	6	3.19616613419
MP3-player	1	0.0140575079872
Yunlin	1	0.0741214057508
nb-shopping	2	0.214696485623
Diary	1	0.996805111821
L_BeautyCare	2	0.00702875399361
Salary	3	0.357827476038
BeautySalon	3	0.108626198083
AKB48	1	0.161661341853
Gossiping	68	19.1233226837
Steam	3	0.237060702875
AllTogether	1	1.08370607029
fastfood	1	0.0313099041534
HatePolitics	1	2.15463258786
Elephants	1	7.60063897764
Rhinos	1	11.6996805112
Buddhism	12	0.0594249201278
MAC	1	0.0817891373802
Pistons	1	0.0108626198083
MobileComm	27	0.94249201278
StarWars	2	0.00191693290735
hypermall	1	0.0434504792332
sex	2	1.20830670927
mobile-game	1	0.038338658147
Android	4	0.108626198083
mobilesales	10	0.683067092652
Korea	2	0.0306709265176
MenTalk	1	2.14760383387
movie	7	1.67987220447
BuyTogether	1	0.613418530351
PSP-PSV	1	0.0115015974441
KoreaStudy	1	0.0223642172524
DC_SALE	1	0.156549520767
MacShop	20	0.684984025559
Facebook	1	0.0785942492013
SuperHeroes	1	0.190415335463
Aviation	2	0.453674121406
BlizzHeroes	1	0.0869009584665
Old-Games	2	0.0715654952077
OverWatch	2	0.135463258786
street_style	1	0.0274760383387
WOW	1	0.153993610224
MakeUp	1	0.0830670926518
Drama	3	0.00830670926518
C_Chat	12	2.8249201278
BabyMother	1	0.345047923323
ask	1	0.564217252396
TaichungBun	1	0.651757188498
Audiophile	1	0.082428115016
iPod	1	0.00191693290735
forsale	15	12.2313099042
Linguistics	1	0.014696485623
Palmar_Drama	3	0.834504792332
Virgo	1	0.0447284345048
COC	2	0.0722044728435
BabyProducts	2	0.972523961661
FITNESS	2	0.114376996805
TW_Entertain	1	0.0511182108626
Beauty	4	0.750159744409
ToS	1	0.0996805111821
LoL	2	2.79744408946
KoreaDrama	1	0.0875399361022
Aboriginal	2	0.0421725239617
Baseball	12	4.78274760383
CATCH	1	0.0907348242812
Salesperson	1	0.0230031948882
NBA	1	1.9303514377
Wanted	7	8.00511182109
Monkeys	2	2.71182108626
Tech_Job	1	0.337380191693
gay	2	0.157188498403
PC_Shopping	7	0.240255591054
BoardGame	1	0.115015974441
TW-language	4	0.0594249201278
einvoice	1	0.0619808306709
Hsinchu	2	0.42428115016
BeautyMarket	20	1.06645367412
StrikeShoot	2	0.00958466453674
NDS	1	0.0198083067093
FORMULA1	2	0.134185303514
car	5	0.631309904153
NTU	1	0.895207667732
Japan_Travel	1	0.669009584665
HelpBuy	2	2.21916932907
Realm	4	0.0255591054313
Kaohsiung	2	1.02747603834
Militarylife	3	0.42875399361
Drama-Ticket	3	1.39808306709
StarCraft	1	0.0166134185304
Tobacco	2	0.0166134185304
travel	1	0.452396166134
Drink	2	0.0300319488818
creditcard	3	0.286261980831
Hearthstone	2	0.349520766773
Stock	1	0.550159744409
Instant_Mess	3	0.0115015974441
Tainan	3	1.17252396166
watch	1	0.0856230031949
HANGUKMAL	1	0.0127795527157
E-appliance	1	0.115654952077
ToS_Match	4	0.023642172524
Railway	3	0.600638977636
e-shopping	1	0.182108626198
Hualien	1	0.0722044728435
Taiwanlit	2	0.0281150159744
R_Language	1	0.00127795527157
SportLottery	1	0.194249201278
points	2	0.0696485623003
HardwareSale	3	0.65303514377
HsinTien	1	0.0811501597444
marvel	1	0.175079872204
