board	degree	nordegree
MenTalk	35	570.403153823
WomenTalk	41	525.942622951
sex	24	476.700158646
PublicIssue	13	382.203757225
movie	23	314.904906809
clmusic	2	231.851851852
e-seller	2	156.5
Gossiping	49	125.553495055
PVC-GK	2	86.9444444444
ONE_PIECE	3	62.0484581498
DIABLO	2	59.619047619
FJU	1	52.1666666667
LoL	11	43.2537688442
BikerShop	5	39.8827726809
Hip-Hop	1	37.2619047619
money	1	30.6862745098
Wargaming	1	28.9814814815
FishShrimp	1	27.9464285714
MabinogiHero	1	26.9827586207
Contacts	1	26.0833333333
Test	6	25.4012623986
NBA	7	25.383978815
biker	3	24.4956521739
Pisces	1	21.4383561644
Live	2	20.4575163399
Browsers	1	19.3209876543
NightLife	1	17.7840909091
Google	1	17.7840909091
PttNewhand	1	16.8279569892
Windows	1	14.9047619048
historia	2	11.9011406844
IA	4	11.6465116279
gallantry	1	10.5743243243
EAseries	1	9.72049689441
Badminton	1	9.04624277457
FITNESS	1	8.74301675978
E-appliance	1	8.64640883978
joke	3	7.90404040404
OverWatch	1	7.3820754717
Stock	2	7.2706155633
WOW	1	6.49377593361
MLB	2	5.80166821131
HsinChuang	1	5.69090909091
AC_In	1	4.49712643678
HatePolitics	3	4.17704626335
Tech_Job	1	2.96401515152
Hearthstone	1	2.86106032907
home-sale	1	2.74561403509
Boy-Girl	1	2.21357850071
Wanted	4	1.99872286079
Baseball	3	1.88176352705
HardwareSale	1	1.5313111546
Japan_Travel	1	1.49474689589
TaiwanDrama	1	1.28912685338
Kaohsiung	1	0.973258706468
forsale	3	0.735816529098
C_Chat	1	0.353992309432
