board	degree	nordegree
Oceanography	3	2.85583941606
V_ScHooL	3	2.83685800604
swim	3	2.80801435407
Ecophilia	3	2.79131985731
sky	3	2.78635014837
Agriculture	3	2.78635014837
Badminton	3	2.7846975089
Road	3	2.76339022955
Olympics_ISG	3	2.75043936731
CrossStrait	3	2.67369020501
MRT	3	2.65554298643
IA	3	2.63615946098
Navy	2	1.91671769749
Bus	2	1.85536455246
Militarylife	2	1.76338028169
Railway	2	1.74082313682
Aviation	2	1.72737306843
Tainan	2	1.44439317028
Gov_owned	1	0.989254108723
CS_TEACHER	1	0.989254108723
NailSalon	1	0.985516372796
ForeignEX	1	0.979349186483
Cga	1	0.976903870162
AirForce	1	0.973258706468
Jeremy_Lin	1	0.97265382225
basketballTW	1	0.971446306642
PH-sea	1	0.971446306642
TAXI	1	0.970843672457
EarthScience	1	0.967841682127
Jinmen	1	0.966646077826
PublicBike	1	0.958946078431
Post	1	0.957186544343
Nantou	1	0.954850518609
Tennis	1	0.950789793439
Korea_Travel	1	0.948484848485
Key_Mou_Pad	1	0.947336561743
TY_Research	1	0.944477972239
BeautySalon	1	0.933770883055
Soccer	1	0.905147484095
PttEarnMoney	1	0.85989010989
Boy-Girl	1	0.85332606325
Taoyuan	1	0.845032397408
ask	1	0.811301192328
joke	1	0.786432160804
sex	1	0.781328007988
Test	1	0.775520317146
Gossiping	3	0.72208551215
LoL	1	0.64749689698
Hate	1	0.582217261905
Baseball	1	0.56539017341
WomenTalk	1	0.541897506925
