board	degree	nordegree
gay	16	13.8266151298
GL	7	6.91603535354
the_L_word	4	3.97712833545
transgender	4	3.92476489028
bi-sexual	4	3.90274314214
JOB-Hunting	4	3.8665843113
give	6	3.40834845735
haiku	3	2.82661047562
trans_humans	2	1.99744735163
SW_Job	2	1.97725837018
LGBT_SEX	2	1.93329215565
ChungLi	2	1.76736307171
HKMCantonese	1	0.998086734694
TAS	1	0.994914176732
Japan_Living	1	0.994914176732
Canada	1	0.991133628879
Hong_Kong	1	0.982423101067
need_student	1	0.981806775408
KTV	1	0.964858199753
Virgo	1	0.957186544343
Libra	1	0.949060036386
WorkanTravel	1	0.946763460375
NCCU	1	0.934886499403
Keelung	1	0.931547619048
job	1	0.910413030832
FITNESS	1	0.897362385321
Cancer	1	0.865118850193
cat	1	0.862734288864
Drama-Ticket	2	0.833999467093
Rent_ya	1	0.829798515376
ShuangHe	1	0.82066072365
Tech_Job	1	0.747730530339
part-time	1	0.72153065929
WomenTalk	3	0.714938328004
TaichungBun	1	0.605415860735
Tainan	1	0.460294117647
Hate	1	0.0811259136385
Gossiping	1	0.0496935827009
