board	degree	nordegree
equal_change	24	1164.65116279
NIT	1	260.833333333
UCH	1	173.888888889
egg-exchange	1	97.8125
Chemistry	1	48.90625
Tea	1	47.4242424242
model	1	28.4545454545
Tour-Agency	1	14.3577981651
Hsinchu	2	9.42771084337
FITNESS	1	8.74301675978
GetMarry	1	6.83406113537
SportsShop	1	6.28514056225
memento	1	6.11328125
MuscleBeach	1	5.16501650165
Gamesale	2	4.36845778088
Wanted	5	3.12300446999
Drama-Ticket	2	2.86106032907
forsale	5	2.04393480305
TaichungBun	1	1.53431372549
C_Chat	2	1.41596923773
BabyProducts	1	1.02825229961
AllTogether	1	0.922759433962
Tainan	1	0.852861035422
HelpBuy	1	0.45061906133
