board	degree	nordegree
Preschooler	8	1963.92156863
BabyMother	26	1959.14814815
gallantry	12	1522.7027027
WomenTalk	51	813.787485006
Divorce	1	782.5
Boy-Girl	17	639.724186704
Gossiping	99	512.515537289
WorkinChina	3	402.428571429
GirlComics	1	391.25
Hunter	7	284.018518519
haiku	4	260.833333333
BabyProducts	14	201.537450723
funeral	1	173.888888889
Teacher	4	172.689655172
GetMarry	5	170.851528384
CFantasy	6	131.023255814
Wanhua	1	130.416666667
Jeremy_Lin	3	88.03125
home-sale	5	68.6403508772
DMM_GAMES	1	65.2083333333
tax	2	59.0566037736
historia	4	47.6045627376
movie	7	29.1688855078
ForeignEX	1	25.2419354839
SportsShop	2	25.140562249
Leo	1	23.3582089552
LAW	1	18.4117647059
LicenseShop	1	15.8080808081
points	1	14.3577981651
Tech_Job	2	11.8560606061
cookclub	1	10.7191780822
Baseball	7	10.2451569806
ToS	1	10.0320512821
Kaohsiung	3	8.75932835821
E-appliance	1	8.64640883978
HatePolitics	4	7.42586002372
Post	1	6.83406113537
cat	1	6.28514056225
Examination	1	4.80061349693
NBA	3	4.66236345581
MobileComm	2	4.24406779661
PC_Shopping	1	4.16223404255
creditcard	1	3.49330357143
biker	1	2.72173913043
part-time	1	2.59105960265
forsale	5	2.04393480305
e-coupon	1	2.02720207254
equal_change	1	2.02196382429
HelpBuy	2	1.80247624532
Japan_Travel	1	1.49474689589
mobilesales	1	1.46398503274
Gamesale	1	1.09211444522
BeautyMarket	1	0.937687237867
joke	1	0.87822671156
Tainan	1	0.852861035422
sex	1	0.827604442094
Wanted	1	0.124920178799
