board	degree	nordegree
car	3	2.52148227712
Gossiping	8	1.92556136573
home-sale	2	1.76536943034
WomenTalk	3	1.62569252078
novel	1	0.996815286624
RESIT	1	0.994282083863
need_student	1	0.985516372796
Koei	1	0.981806775408
TW-language	1	0.979962429555
HsinTien	1	0.957186544343
Headphone	1	0.949060036386
toberich	1	0.93824940048
SENIORHIGH	1	0.933770883055
Steam	1	0.930439952438
Taipei	1	0.914135514019
Diary	1	0.873813512004
Aviation	1	0.863686534216
ask	1	0.811301192328
Test	1	0.775520317146
MenTalk	1	0.773221343874
movie	1	0.676610462603
