board	degree	nordegree
PVC-GK	3	2.93988728867
PlayStation	2	1.74567763525
mobilesales	2	1.4470642626
movie	2	1.35322092521
C_Chat	2	1.2212251268
MartialArts	1	0.993020304569
Jeans	1	0.993020304569
BB_Online	1	0.983658076681
SuperBike	1	0.976903870162
littlegift	1	0.972049689441
Old-Games	1	0.970241785493
ClashRoyale	1	0.969040247678
Military	1	0.963669950739
bicycle	1	0.952525867316
SportsShop	1	0.921130076516
nb-shopping	1	0.891737891738
biker	1	0.883681535855
part-time	1	0.858946212953
Hsinchu	1	0.832004253057
ask	1	0.811301192328
Gamesale	1	0.789606458123
joke	1	0.786432160804
MacShop	1	0.786432160804
TaichungBun	1	0.738555922605
AllTogether	1	0.725208526413
Tainan	1	0.722196585141
Gossiping	2	0.481390341433
forsale	1	0.360516010136
