board	degree	nordegree
HardwareSale	31	18.7533822961
MacShop	29	17.2108456579
mobilesales	21	12.4772209567
Notebook	11	10.5548743102
HsinChuang	9	7.65489130435
forsale	99	7.48225237842
WindowsPhone	8	7.25376593279
Headphone	6	5.44663573086
give	8	4.5444646098
aqua-shop	4	3.68669022379
BikerShop	5	3.07344854674
Digitalhome	3	2.88036809816
LinKou	3	2.81981981982
Audiophile	3	2.77154663518
DC_SALE	3	2.59392265193
part-time	3	2.16459197787
Gamesale	4	2.0880587058
Kaohsiung	4	1.97289631264
teeth_salon	2	1.95625
VR	2	1.91789215686
HatePolitics	6	1.90196475592
hardware	2	1.89696969697
V_ScHooL	2	1.85646500593
CarShop	2	1.84117647059
electronic	2	1.82720373614
AOA	2	1.8134414832
Android	2	1.80403458213
BigSanchung	2	1.70201196302
Steam	2	1.61673553719
iPhone	2	1.59449821701
LoL	6	1.58001009591
Neihu	2	1.50770712909
equal_change	2	1.33817870885
TaichungBun	2	1.21083172147
barterbooks	2	1.12226604518
BabyProducts	2	1.01392938128
Poker	1	0.999361430396
Asiantennis	1	0.998723675814
Broker	1	0.993650793651
vitalitydiet	1	0.989879822897
Tour-Manager	1	0.988629185092
MapleStory	1	0.984896161108
Hong_Kong	1	0.982423101067
Mollie	1	0.979962429555
Pedal	1	0.969040247678
HomeTeach	1	0.967841682127
model	1	0.966049382716
PublicServan	1	0.961302211302
Storage_Zone	1	0.960122699387
guitar	1	0.959534028204
Leo	1	0.958946078431
baking	1	0.94963592233
Tour-Agency	1	0.934886499403
HelpBuy	3	0.931917427551
TypeMoon	1	0.913068844807
Key_Mou_Pad	1	0.899942495687
textbook	1	0.889204545455
CFantasy	1	0.784461152882
ChangHua	1	0.775904809122
Tech_Job	1	0.747730530339
Chat82gether	1	0.646961554361
Stock	1	0.645094806265
BuyTogether	1	0.619801980198
Test	1	0.413692836373
Gossiping	8	0.397548661607
