board	degree	nordegree
haiku	15	3667.96875
prose	3	2817.0
interdreams	1	260.833333333
SENIORHIGH	3	57.024291498
Taoyuan	4	46.0294117647
NewAge	1	38.1707317073
NCU_Talk	1	33.2978723404
StupidClown	2	15.4187192118
job	1	10.1623376623
prozac	1	9.78125
book	1	9.42771084337
Japandrama	1	8.15104166667
sex	3	7.44843997885
cat	1	6.28514056225
Wanted	5	3.12300446999
movie	2	2.38113351084
TaichungBun	1	1.53431372549
NTU	1	1.1170592434
Gamesale	1	1.09211444522
Test	1	0.705590622182
Elephants	2	0.526271542665
Hate	2	0.353153559743
WomenTalk	1	0.31287485006
Gossiping	2	0.209168671478
