board	degree	nordegree
Virgo	13	3778.35714286
flying	3	1760.625
Hamster	3	1083.46153846
Child_Psy	5	1057.43243243
Aerobics	2	894.285714286
ServiceInfo	3	563.4
NPUST	1	521.666666667
Psychiatry	4	455.272727273
NARUTO	2	298.095238095
Reptile	2	284.545454545
Lottery	3	265.754716981
jawawa	1	260.833333333
Songs	2	231.851851852
eat-disorder	1	223.571428571
lostsleep	1	195.625
Doctor-Info	2	145.581395349
feminine_sex	1	130.416666667
band	1	111.785714286
Hearthstone	6	102.998171846
pay_home	1	97.8125
Pharmacy	1	62.6
tax	2	59.0566037736
elderly	1	57.962962963
TaiShan	1	53.9655172414
Gossiping	31	50.2527733226
Test	8	45.1577998197
Road_Running	2	43.7762237762
TaichungBun	5	38.3578431373
rent-exp	1	31.3
poem	1	27.9464285714
Suckcomic	2	26.9827586207
Health_Life	1	26.9827586207
Wanted	13	21.1115102171
Taipei	2	15.6892230576
historia	2	11.9011406844
SongShan	1	11.3405797101
Hate	11	10.6828951822
sex	3	7.44843997885
PingTung	1	7.0814479638
gay	1	6.36178861789
LoL	4	5.71950662403
marvel	1	5.71167883212
Beauty	2	5.33219761499
StupidClown	1	3.85467980296
BabyMother	1	2.89814814815
Salary	1	2.79464285714
MenTalk	2	1.86254091044
ask	1	1.77236693092
