board	degree	nordegree
FJU_RENT	1	0.994914176732
NCCU_Info	1	0.994282083863
SpaceArt	1	0.993650793651
Pharmacy	1	0.988629185092
Rent_apart	1	0.958358848745
prozac	1	0.956017104459
Rent_tao	1	0.915204678363
Lifeismoney	1	0.906195715113
IA	1	0.878719820326
part-time	1	0.858946212953
talk	1	0.845032397408
Hsinchu	1	0.832004253057
ask	1	0.811301192328
MenTalk	1	0.773221343874
TaichungBun	1	0.738555922605
HatePolitics	1	0.721198156682
LoL	1	0.64749689698
Hate	1	0.582217261905
WomenTalk	1	0.541897506925
Gossiping	2	0.481390341433
