Name	Degree	NorDegree
Catholic	2	0.0900958466454
home-sale	8	0.364217252396
GossipPicket	9	0.800638977636
money	7	0.0325878594249
biker	3	0.367412140575
Examination	2	0.208306709265
japanavgirls	24	0.18338658147
Test	5	1.41725239617
WomenTalk	103	3.19616613419
Shu-Lin	1	0.0472843450479
sky	1	0.115015974441
Boy-Girl	13	0.451757188498
XBOX	4	0.0492012779553
Diary	6	0.996805111821
FishShrimp	7	0.0357827476038
PublicIssue	91	0.442172523962
stationery	1	0.0523961661342
Salary	3	0.357827476038
ChungLi	1	0.131629392971
MRT	2	0.442172523962
historia	2	0.336102236422
iPhone	2	0.254313099042
Web_Design	1	0.00958466453674
Gossiping	408	19.1233226837
Spurs	3	0.159744408946
AllTogether	12	1.08370607029
BigSanchung	5	0.175079872204
HatePolitics	44	2.15463258786
MLBGAME	1	0.00191693290735
Elephants	23	7.60063897764
HateP_Picket	2	0.174440894569
Browsers	7	0.0517571884984
MobileComm	11	0.94249201278
LAW	1	0.0543130990415
Hate	111	11.3265175719
e-coupon	2	0.493290734824
PlayStation	3	0.390415335463
TaiwanDrama	7	0.77571884984
bicycle	1	0.088178913738
Child_Psy	2	0.023642172524
elderly	1	0.0172523961661
Christianity	5	0.0581469648562
Live	14	0.19552715655
Kaohsiung	10	1.02747603834
Nurse	1	0.0408945686901
cookclub	2	0.0932907348243
mobilesales	3	0.683067092652
Life	2	0.067731629393
StupidClown	4	0.259424920128
MenTalk	78	2.14760383387
movie	32	1.67987220447
WorkanTravel	1	0.0562300319489
teeth_salon	2	0.0223642172524
BuyTogether	1	0.613418530351
Leo	2	0.0428115015974
MacShop	1	0.684984025559
W-Philosophy	3	0.0217252396166
Aviation	1	0.453674121406
OverWatch	1	0.135463258786
ForeignEX	1	0.0396166134185
EAseries	2	0.102875399361
WOW	1	0.153993610224
Gamesale	1	0.915654952077
Key_Mou_Pad	2	0.111182108626
BabyMother	1	0.345047923323
ask	5	0.564217252396
tellstory	1	0.00447284345048
MabinogiHero	7	0.0370607028754
joke	16	1.13865814696
forsale	9	12.2313099042
ID_Problem	6	0.143769968051
Contacts	7	0.038338658147
CultureShock	1	0.00894568690096
COC	5	0.0722044728435
BabyProducts	3	0.972523961661
HelpBuy	3	2.21916932907
S.H.E	7	0.0159744408946
PttEarnMoney	5	9.04856230032
toberich	2	0.0945686900958
poem	3	0.0357827476038
story	1	0.00702875399361
prozac	3	0.102236421725
Sagittarius	13	0.0798722044728
Beauty	24	0.750159744409
juniorhigh	1	0.0741214057508
GUNDAM	2	0.029392971246
give	5	0.760383386581
LoL	15	2.79744408946
Baseball	89	4.78274760383
CATCH	8	0.0907348242812
NBA	20	1.9303514377
Wanted	213	8.00511182109
Tech_Job	13	0.337380191693
Mavericks	3	0.0709265175719
Hsinchu	4	0.42428115016
Psychiatry	1	0.0351437699681
ask-why	1	0.0102236421725
car	15	0.631309904153
BikerShop	1	0.626837060703
SENIORHIGH	1	0.157827476038
cat	1	0.15910543131
marriage	1	0.215335463259
SportLottery	27	0.194249201278
PingTung	6	0.141214057508
MMA	1	0.0568690095847
Insurance	1	0.0498402555911
heart	2	0.515654952077
Militarylife	2	0.42875399361
RockMetal	1	0.038338658147
tabletennis	2	1.34696485623
Suckcomic	1	0.148242811502
Bioindustry	1	0.0108626198083
Stock	17	0.550159744409
HomeTeach	1	0.0332268370607
graduate	1	0.0702875399361
Hearthstone	3	0.349520766773
Tainan	1	1.17252396166
MLB	3	0.68945686901
TigerBlue	1	0.00447284345048
LGBT_SEX	3	0.0345047923323
Windows	7	0.0670926517572
IA	28	1.37380191693
Railway	2	0.600638977636
BigBanciao	1	0.189137380192
Reptile	1	0.0140575079872
Google	8	0.0562300319489
AirForce	2	0.0472843450479
MuscleBeach	1	0.193610223642
Fantasy	1	0.00894568690096
DistantLove	2	0.00638977635783
talk	122	3.15335463259
marvel	14	0.175079872204
