board	degree	nordegree
BabyMother	4	2.97387173397
unemployed	3	2.91253101737
NewActivity	4	2.70176952956
JOB-Hunting	2	1.93329215565
Taipei	2	1.59368635438
basketball	1	0.997450605481
Cloud	1	0.997450605481
Education	1	0.996815286624
NTUcourse	1	0.995547073791
AsiaMovies	1	0.993650793651
STREET_BALL	1	0.993020304569
Ourmovies	1	0.991761723701
HRM	1	0.986759142497
study	1	0.983658076681
CareerPlan	1	0.969640644362
NightLife	1	0.946763460375
drawing	1	0.937125748503
Windows	1	0.937125748503
Design	1	0.936004784689
graduate	1	0.934328358209
toberich	1	0.913601868068
I-Lan	1	0.894797026872
Refresh	1	0.82066072365
learnyf	1	0.81256490135
home-sale	1	0.733021077283
Aviation	1	0.687912087912
forsale	6	0.453469841117
