board	degree	nordegree
Deutsch	4	3.93216080402
Digital_Art	2	1.99109414758
TOEFL_iBT	2	1.92852741836
Eng-Class	2	1.80299539171
Salary	2	1.47294117647
ask	2	1.27859477124
Gossiping	23	1.14295240212
give	2	1.13611615245
Cognitive	1	0.998723675814
Chicago	1	0.998723675814
Vancouver	1	0.998086734694
global_univ	1	0.996815286624
VISA	1	0.994914176732
Canada	1	0.991133628879
GRE	1	0.990506329114
AdvEduUK	1	0.990506329114
NARUTO	1	0.986759142497
Oversea_Job	1	0.98427672956
StudyGroup	1	0.979962429555
Singapore	1	0.978125
Q_ary	1	0.977514053716
Pedal	1	0.969040247678
Wargaming	1	0.966646077826
Soft_Job	1	0.956601466993
PhD	1	0.954850518609
WorkanTravel	1	0.946763460375
KanColle	1	0.800921187308
C_Chat	3	0.784330103575
Food	1	0.557733428368
NTU	1	0.527646662171
MobileComm	1	0.514802631579
WomenTalk	1	0.238312776001
Baseball	1	0.172928176796
forsale	1	0.0755783068528
