board	degree	nordegree
Ecophilia	8	582.325581395
Olympics_ISG	8	451.171171171
sky	7	426.027777778
Agriculture	6	352.125
Bus	7	269.070175439
Road	7	247.370967742
Oceanography	4	243.106796117
juniorhigh	4	215.862068966
AirForce	3	190.337837838
PublicBike	3	165.705882353
Navy	3	154.78021978
MRT	8	144.739884393
Badminton	4	144.739884393
Militarylife	7	114.284649776
Jinmen	2	104.333333333
basketballTW	2	89.4285714286
PH-sea	2	88.1690140845
EarthScience	2	88.1690140845
Cga	2	72.7906976744
CrossStrait	6	71.5883100381
Soccer	5	70.6227436823
Tennis	3	62.0484581498
Railway	6	59.9361702128
V_ScHooL	2	51.7355371901
TY_Research	3	51.5934065934
Korea_Travel	2	47.0676691729
IA	8	46.5860465116
Aviation	4	35.2676056338
Math	1	29.5283018868
Post	2	27.3362445415
TuCheng	1	15.1941747573
tax	1	14.7641509434
TAXI	1	13.8495575221
Nantou	1	13.1512605042
China_travel	1	10.6462585034
Tainan	3	7.6757493188
e-shopping	1	5.49122807018
Gossiping	9	4.23566559743
Baseball	4	3.34535738143
Taoyuan	1	2.87683823529
home-sale	1	2.74561403509
Kaohsiung	1	0.973258706468
forsale	1	0.081757392122
