board	degree	nordegree
Hate	89	51.8173363095
MenTalk	15	11.5983201581
Test	14	10.85728444
Gossiping	42	10.1091971701
WomenTalk	11	5.96087257618
nmsmusic	6	5.84318606098
Diary	6	5.24288107203
TNFSH102nd	4	3.93710691824
joke	5	3.93216080402
sex	5	3.90664003994
GossipPicket	4	3.76654632972
Wanted	7	3.4667721519
SummonsBoard	3	2.96214511041
L_TalkandCha	3	2.89636027144
THU_Talk	3	2.88567916411
HelpBuy	4	2.79964221825
GambleGhost	3	2.46456692913
Lefty	2	1.97975964579
ID_Multi	2	1.95747342089
Cancer	2	1.94048357099
heart	2	1.90970103722
StupidClown	2	1.84551886792
BigBanciao	2	1.81659895531
biker	2	1.76736307171
Beauty	2	1.75055928412
car	2	1.68098818475
CAPOO	1	0.999361430396
painting	1	0.997450605481
pity	1	0.996815286624
PCCC	1	0.996815286624
single	1	0.996180776575
pighead	1	0.996180776575
DistantLove	1	0.995547073791
WeiBird	1	0.994914176732
Ptt-Press	1	0.993650793651
PCSH_talk	1	0.993650793651
PC26th318	1	0.993650793651
Wei-Lun	1	0.991761723701
ZCLUB	1	0.989879822897
Pharmacy	1	0.988629185092
rent-exp	1	0.986759142497
NCTU_TALK	1	0.986759142497
LeicesterCFC	1	0.985516372796
PSY	1	0.98427672956
Dreamland	1	0.983040201005
Eng-Class	1	0.97507788162
OCU	1	0.974470734745
ID_Problem	1	0.973258706468
I.O.I	1	0.970843672457
Japandrama	1	0.970241785493
Lonely	1	0.968440594059
Sijhih	1	0.967243510507
Nangang	1	0.962484624846
happy	1	0.960122699387
ONE_PIECE	1	0.959534028204
ZACTION	1	0.958358848745
Bank_Service	1	0.957186544343
NCHUS	1	0.956017104459
SENIORHIGH	1	0.933770883055
NewActivity	1	0.924394565859
TaiwanDrama	1	0.912004662005
Neihu	1	0.912004662005
e-coupon	1	0.87675070028
PttEarnMoney	1	0.85989010989
Boy-Girl	1	0.85332606325
Hsinchu	1	0.832004253057
Rhinos	1	0.819800942902
ask	1	0.811301192328
give	1	0.785642570281
TaichungBun	1	0.738555922605
forsale	1	0.360516010136
