board	degree	nordegree
Accounting	7	6.34337000579
e-coupon	8	5.35729567822
Military	6	4.68796804793
ask	5	3.1964869281
Gamesale	6	3.13208805871
BabyMother	4	2.97387173397
home-sale	3	2.19906323185
TaiShan	2	1.96361355082
einvoice	2	1.88327316486
prozac	2	1.81449275362
Chiayi	2	1.79678530425
E-appliance	2	1.79266895762
marriage	2	1.64563617245
Salary	2	1.47294117647
BeautyMarket	3	1.45176252319
Militarylife	2	1.39982110912
Stock	2	1.29018961253
HelpBuy	4	1.24255657007
car	2	1.22600861731
BabyProducts	2	1.01392938128
Jay	1	0.968440594059
AllTogether	2	0.959828273536
TuCheng	1	0.93824940048
IC-Card	1	0.93544530783
CVS	1	0.918966529654
toberich	1	0.913601868068
swim	1	0.908826945412
Bank_Service	1	0.907246376812
book	1	0.904101675332
Rent_apart	1	0.900978698906
HsinChuang	1	0.850543478261
Lifeismoney	1	0.821953781513
Taoyuan	1	0.742057847321
PublicIssue	1	0.693398316349
equal_change	1	0.669089354425
HatePolitics	2	0.633988251975
Gossiping	12	0.596322992411
Kaohsiung	1	0.493224078159
tabletennis	1	0.426082221617
Wanted	3	0.333144114099
forsale	3	0.226734920558
