board	degree	nordegree
Stall	4	3.95451674037
part-time	3	2.57683863886
Ptt-Charity	2	1.97601010101
Comic	2	1.97476340694
Interior	2	1.96484620213
unemployed	2	1.95380774032
Design	2	1.93448702101
SongShan	2	1.91203420892
Aviation	2	1.72737306843
car	2	1.68098818475
joke	2	1.57286432161
MobileComm	2	1.55334987593
Tainan	2	1.44439317028
HelpBuy	2	1.39982110912
LoL	2	1.29499379396
Gossiping	5	1.20347585358
joyinDIY	1	0.997450605481
Native	1	0.995547073791
tattoo_ring	1	0.994914176732
STREET_BALL	1	0.994914176732
Printer_scan	1	0.994914176732
FineArt	1	0.994282083863
Art-Service	1	0.994282083863
AIESEC	1	0.994282083863
AsiaMovies	1	0.993650793651
Architecture	1	0.993650793651
Tour-Manager	1	0.992390615092
Ourmovies	1	0.991761723701
asciiart	1	0.990506329114
Publish	1	0.989879822897
HRM	1	0.988005050505
Oversea_Job	1	0.98738170347
Thailand	1	0.986759142497
Aromatherapy	1	0.9861373661
Mechanical	1	0.985516372796
JOB-Hunting	1	0.98427672956
Salesperson	1	0.983040201005
rabbit	1	0.982423101067
speech	1	0.981806775408
HandMade	1	0.981191222571
share	1	0.979349186483
medstudent	1	0.979349186483
facelift	1	0.978736710444
CareerPlan	1	0.978125
Calendar	1	0.97507788162
HomeTeach	1	0.973258706468
NTU-Taipei	1	0.97265382225
ASES-Taiwan	1	0.97265382225
Soft_Job	1	0.969640644362
CLOCA	1	0.969040247678
Sijhih	1	0.967243510507
aqua-shop	1	0.966646077826
tax	1	0.961893054702
book	1	0.960122699387
BigShiLin	1	0.956017104459
Headphone	1	0.949060036386
EAseries	1	0.948484848485
I-Lan	1	0.9393757503
Android	1	0.936004784689
Chiayi	1	0.93544530783
Refresh	1	0.929887106358
BigSanchung	1	0.929887106358
learnyf	1	0.928783382789
NewActivity	1	0.924394565859
cat	1	0.903579676674
home-sale	1	0.882684715172
Militarylife	1	0.881690140845
NTU	1	0.85989010989
Taoyuan	1	0.845032397408
Japan_Travel	1	0.798469387755
Food	1	0.789606458123
give	1	0.785642570281
Kaohsiung	1	0.781718281718
sex	1	0.781328007988
Test	1	0.775520317146
MenTalk	1	0.773221343874
TaichungBun	1	0.738555922605
AllTogether	1	0.725208526413
movie	1	0.676610462603
Wanted	1	0.495253164557
forsale	1	0.360516010136
